"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"152",152,89.75,51,113,90,90.18
"153",153,90.31,49,112,90.54,90.74
"154",154,90.85,49,111,91.07,91.28
"155",155,91.41,49,109,91.63,91.82
"156",156,91.95,50,111,92.16,92.34
"157",157,92.47,49,112,92.68,92.94
"158",158,92.99,51,113,93.22,93.46
"159",159,93.53,51,112,93.76,94
"160",160,94.05,50,112,94.28,94.48
"161",161,94.55,51,115,94.79,94.98
"162",162,95.09,49,115,95.31,95.56
"163",163,95.61,49,115,95.84,96.04
"164",164,96.13,46,112,96.37,96.56
"165",165,96.65,46,115,96.87,97.06
"166",166,97.15,48,114,97.41,97.62
"167",167,97.69,49,115,97.94,98.12
"168",168,98.25,48,111,98.49,98.68
"169",169,98.79,48,112,99.01,99.22
"170",170,99.33,49,109,99.57,99.76
"171",171,99.85,50,112,100.1,100.32
"172",172,100.39,49,111,100.63,100.84
"173",173,100.93,51,113,101.16,101.36
"174",174,101.47,51,113,101.68,101.94
"175",175,101.97,51,115,102.2,102.38
