"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"1",1,1.54,33,110,1.76,1.96
"2",2,2.09,40,117,2.24,2.46
"3",3,2.53,44,118,2.74,2.98
"4",4,3.03,45,120,3.26,3.46
"5",5,3.57,44,118,3.76,3.98
"6",6,4.09,43,116,4.27,4.5
"7",7,4.59,43,116,4.79,5
"8",8,5.11,43,115,5.32,5.54
"9",9,5.61,44,116,5.81,6.02
"10",10,6.15,42,116,6.33,6.56
"11",11,6.69,44,115,6.87,7.12
"12",12,7.21,43,112,7.41,7.6
"13",13,7.77,43,111,7.95,8.18
"14",14,8.31,44,111,8.49,8.68
"15",15,8.85,42,111,9.03,9.24
"16",16,9.37,39,111,9.56,9.8
"17",17,9.89,41,112,10.08,10.28
"18",18,10.43,41,112,10.62,10.86
"19",19,10.95,47,112,11.16,11.42
"20",20,11.51,45,111,11.71,11.98
"21",21,12.03,51,112,12.24,12.44
"22",22,12.55,48,115,12.75,12.98
"23",23,13.07,47,115,13.27,13.48
"24",24,13.63,43,112,13.83,14.08
"25",25,14.17,42,109,14.36,14.58
"26",26,14.67,43,112,14.87,15.1
"27",27,15.19,47,117,15.38,15.62
"28",28,15.71,48,117,15.91,16.14
"29",29,16.23,46,114,16.46,16.66
"30",30,16.77,44,111,17,17.22
"31",31,17.33,45,111,17.53,17.74
"32",32,17.89,45,111,18.08,18.3
"33",33,18.45,47,108,18.65,18.86
"34",34,18.93,48,111,19.15,19.4
"35",35,19.43,48,114,19.65,19.86
"36",36,19.97,48,118,20.17,20.42
"37",37,20.51,47,118,20.68,20.88
"38",38,21.05,45,115,21.22,21.42
"39",39,21.51,45,115,21.72,21.94
"40",40,22.09,42,112,22.26,22.52
"41",41,22.59,41,115,22.77,23
"42",42,23.09,45,115,23.3,23.54
"43",43,23.65,44,115,23.84,24.06
"44",44,24.15,45,113,24.35,24.56
"45",45,24.71,43,111,24.9,25.16
"46",46,25.23,41,112,25.43,25.64
"47",47,25.75,44,112,25.95,26.18
"48",48,26.27,45,116,26.46,26.72
"49",49,26.83,39,112,27.03,27.26
"50",50,27.37,39,112,27.56,27.8
"51",51,27.87,42,112,28.06,28.32
"52",52,28.43,41,114,28.61,28.84
"53",53,28.97,49,112,29.16,29.38
"54",54,29.53,49,109,29.7,29.98
"55",55,30.07,44,109,30.26,30.52
"56",56,30.63,41,107,30.83,31.08
"57",57,31.21,45,107,31.38,31.62
"58",58,31.79,42,107,31.93,32.16
"59",59,32.33,50,108,32.5,32.72
"60",60,32.83,46,108,33.03,33.22
"61",61,33.41,46,108,33.59,33.8
"62",62,33.93,47,111,34.12,34.34
"63",63,34.47,47,109,34.67,34.86
"64",64,35.04,48,111,35.21,35.5
"65",65,35.64,48,104,35.82,36.02
"66",66,36.15,50,106,36.37,36.56
"67",67,36.67,52,109,36.89,37.16
"68",68,37.28,51,111,37.46,37.71
"69",69,37.81,49,110,38,38.26
"70",70,38.37,51,106,38.56,38.8
"71",71,38.87,47,109,39.1,39.34
"72",72,39.43,48,111,39.62,39.88
"73",73,39.97,49,111,40.18,40.4
"74",74,40.51,49,111,40.73,40.96
"75",75,41.11,45,108,41.3,41.52
"76",76,41.64,42,108,41.85,42.1
"77",77,42.2,43,107,42.4,42.61
"78",78,42.71,51,109,42.93,43.12
"79",79,43.29,45,109,43.49,43.74
"80",80,43.81,46,111,44.03,44.26
"81",81,44.37,47,109,44.57,44.78
"82",82,44.93,47,111,45.11,45.36
"83",83,45.47,46,111,45.65,45.98
"84",84,46.03,48,108,46.23,46.48
"85",85,46.59,48,108,46.77,47.04
"86",86,47.17,44,108,47.33,47.56
"87",87,47.71,45,109,47.87,48.12
"88",88,48.23,48,109,48.41,48.68
"89",89,48.77,49,108,48.97,49.22
"90",90,49.35,44,109,49.52,49.76
"91",91,49.87,45,109,50.06,50.34
"92",92,50.43,45,109,50.61,50.84
"93",93,50.97,46,111,51.13,51.44
"94",94,51.51,48,111,51.68,51.9
"95",95,52.07,42,113,52.22,52.46
"96",96,52.61,45,109,52.77,53.04
"97",97,53.15,44,111,53.29,53.5
"98",98,53.65,43,114,53.79,54.04
"99",99,54.17,43,118,54.31,54.6
"100",100,54.71,43,114,54.86,55.12
