"","Time.Date","Acc.X","Acc.Y","Acc.Z"
"47301",473000,-6.866,6.675,3.021
"47302",473010,-6.94,6.675,3.022
"47303",473020,-7.014,6.523,3.022
"47304",473030,-6.94,6.523,2.946
"47305",473040,-6.493,6.523,2.792
"47306",473050,-5.749,6.523,2.636
"47307",473060,-5.153,6.295,2.555
"47308",473070,-4.929,5.992,2.551
"47309",473080,-5.002,5.689,2.624
"47310",473090,-5.225,5.537,2.7
"47311",473100,-5.447,5.461,2.776
"47312",473110,-5.448,5.537,2.702
"47313",473120,-5.448,5.613,2.628
"47314",473130,-5.448,5.689,2.553
"47315",473140,-5.896,5.916,2.559
"47316",473150,-6.641,6.144,2.716
"47317",473160,-7.162,6.144,3.02
"47318",473170,-7.459,6.068,3.247
"47319",473180,-7.533,5.992,3.247
"47320",473190,-7.534,6.144,3.098
"47321",473200,-7.46,6.295,2.724
"47322",473210,-7.46,6.447,2.425
"47323",473220,-7.312,6.599,2.425
"47324",473230,-7.164,6.675,2.649
"47325",473240,-7.089,6.675,3.173
"47326",473250,-7.238,6.675,3.549
"47327",473260,-7.685,6.751,3.928
"47328",473270,-8.354,6.675,4.233
"47329",473280,-8.726,6.523,4.235
"47330",473290,-8.576,6.371,4.083
"47331",473300,-8.204,6.295,3.854
"47332",473310,-7.832,6.371,3.777
"47333",473320,-7.534,6.371,3.624
"47334",473330,-7.237,6.447,3.697
"47335",473340,-7.088,6.295,3.845
"47336",473350,-7.162,6.144,4.069
"47337",473360,-7.459,6.22,3.997
"47338",473370,-7.535,6.523,3.775
"47339",473380,-7.089,6.599,3.322
"47340",473390,-6.419,6.447,2.716
"47341",473400,-5.822,6.144,2.035
"47342",473410,-5.3,5.84,1.279
"47343",473420,-4.853,5.689,0.9
"47344",473430,-4.481,5.764,1.197
"47345",473440,-4.854,5.916,1.726
"47346",473450,-5.896,6.068,2.26
"47347",473460,-6.642,6.371,2.643
"47348",473470,-7.088,6.447,2.797
"47349",473480,-7.236,6.22,2.872
"47350",473490,-7.012,5.992,2.793
"47351",473500,-6.64,5.992,2.64
"47352",473510,-6.343,6.22,2.489
"47353",473520,-6.046,6.295,2.413
"47354",473530,-5.674,6.371,2.56
"47355",473540,-5.302,6.447,2.857
"47356",473550,-5.303,6.599,2.858
"47357",473560,-5.452,6.675,2.485
"47358",473570,-5.899,6.675,2.414
"47359",473580,-6.196,6.523,2.64
"47360",473590,-6.345,6.523,2.866
"47361",473600,-6.345,6.675,3.092
"47362",473610,-6.345,6.751,3.167
"47363",473620,-6.642,6.599,3.319
"47364",473630,-6.939,6.371,3.47
"47365",473640,-6.716,6.295,3.392
"47366",473650,-5.897,6.144,3.16
"47367",473660,-4.852,5.461,2.771
"47368",473670,-4.106,4.854,2.237
"47369",473680,-3.955,4.323,2.082
"47370",473690,-4.325,3.792,2.156
"47371",473700,-4.621,3.337,2.081
"47372",473710,-4.769,3.185,1.481
"47373",473720,-4.843,3.034,0.807
"47374",473730,-5.066,2.882,1.557
"47375",473740,-6.035,3.337,3.891
"47376",473750,-8.198,4.854,6.542
"47377",473760,-10.884,6.751,7.477
"47378",473770,-13.196,8.04,6.905
"47379",473780,-13.869,8.875,6.242
"47380",473790,-12.831,9.937,5.716
"47381",473800,-11.349,11.378,5.114
"47382",473810,-10.383,11.909,3.686
"47383",473820,-8.89,10.544,1.266
"47384",473830,-7.394,8.647,0.192
"47385",473840,-6.724,8.344,1.308
"47386",473850,-6.876,9.33,3.864
"47387",473860,-7.92,9.861,6.124
"47388",473870,-8.439,9.406,6.05
"47389",473880,-8.062,8.04,4.389
"47390",473890,-7.685,6.902,2.43
"47391",473900,-7.908,6.751,1.682
"47392",473910,-7.909,6.978,1.833
"47393",473920,-7.388,6.902,2.503
"47394",473930,-6.79,6.371,3.169
"47395",473940,-6.565,5.84,3.538
"47396",473950,-6.415,5.613,3.46
