"","Time.Date","Acc.X","Acc.Y","Acc.Z"
"21081",210800,-4.344,8.723,2.864
"21082",210810,-4.046,8.723,2.712
"21083",210820,-3.973,9.102,2.939
"21084",210830,-3.527,9.026,2.935
"21085",210840,-3.153,8.495,2.703
"21086",210850,-2.854,8.192,2.474
"21087",210860,-2.853,8.04,2.173
"21088",210870,-3.001,7.888,2.098
"21089",210880,-3.076,8.04,2.25
"21090",210890,-3.076,7.964,2.474
"21091",210900,-3.151,8.04,2.925
"21092",210910,-3.151,8.192,3.225
"21093",210920,-3.226,8.344,3.152
"21094",210930,-3.375,8.344,2.779
"21095",210940,-3.599,8.42,2.332
"21096",210950,-3.598,8.344,1.956
"21097",210960,-3.598,8.192,1.88
"21098",210970,-3.747,8.344,1.808
"21099",210980,-3.896,8.268,1.809
"21100",210990,-4.044,8.116,1.959
"21101",211000,-4.267,8.04,2.26
"21102",211010,-4.192,7.964,2.259
"21103",211020,-3.97,8.192,2.108
"21104",211030,-3.672,8.268,1.807
"21105",211040,-3.598,8.116,1.355
"21106",211050,-4.343,8.571,1.664
"21107",211060,-4.493,8.799,1.817
"21108",211070,-4.045,8.42,1.586
"21109",211080,-3.747,8.42,1.209
"21110",211090,-3.972,8.647,1.137
"21111",211100,-4.344,8.647,1.215
"21112",211110,-4.716,8.799,1.444
"21113",211120,-4.941,9.102,1.673
"21114",211130,-4.866,9.026,1.747
"21115",211140,-4.717,8.875,1.595
"21116",211150,-4.865,8.723,1.445
"21117",211160,-4.938,8.495,1.294
"21118",211170,-4.939,8.571,0.995
"21119",211180,-4.939,8.571,0.62
"21120",211190,-4.79,8.571,0.394
"21121",211200,-4.641,8.647,0.244
"21122",211210,-4.269,8.647,0.316
"21123",211220,-4.12,8.571,0.688
"21124",211230,-4.046,8.723,1.213
"21125",211240,-3.823,8.799,1.812
"21126",211250,-3.675,8.799,2.185
"21127",211260,-3.6,8.875,2.035
"21128",211270,-3.6,8.723,1.884
"21129",211280,-3.674,8.647,1.51
"21130",211290,-3.748,8.647,1.135
"21131",211300,-3.822,8.571,0.836
"21132",211310,-3.972,8.799,0.689
"21133",211320,-3.973,8.951,0.69
"21134",211330,-3.973,9.026,0.765
"21135",211340,-3.973,9.102,0.841
"21136",211350,-4.047,9.026,0.766
"21137",211360,-4.196,8.875,0.916
"21138",211370,-4.419,8.799,1.142
"21139",211380,-4.567,8.799,1.443
"21140",211390,-4.642,8.951,1.744
"21141",211400,-4.718,9.33,2.122
"21142",211410,-4.569,9.254,2.495
"21143",211420,-3.819,7.737,2.479
"21144",211430,-3.147,7.13,2.019
"21145",211440,-3.301,8.495,1.655
"21146",211450,-3.376,8.647,1.507
"21147",211460,-3.449,8.268,1.73
"21148",211470,-3.523,8.116,2.179
"21149",211480,-3.448,7.888,2.402
"21150",211490,-3.597,7.964,2.403
"21151",211500,-3.896,8.268,2.258
"21152",211510,-4.119,8.344,2.111
"21153",211520,-4.344,8.647,2.04
"21154",211530,-4.717,9.102,2.121
"21155",211540,-5.016,9.254,2.199
"21156",211550,-5.313,9.254,2.427
"21157",211560,-5.462,9.178,2.427
"21158",211570,-5.387,9.026,2.351
"21159",211580,-5.387,9.026,2.426
"21160",211590,-5.238,8.951,2.499
"21161",211600,-5.087,8.571,2.495
"21162",211610,-4.938,8.344,2.192
"21163",211620,-4.864,8.42,1.893
"21164",211630,-4.94,8.799,1.671
"21165",211640,-4.866,9.102,1.672
"21166",211650,-4.718,9.178,1.822
"21167",211660,-4.569,9.254,1.821
"21168",211670,-4.644,9.33,1.747
"21169",211680,-4.644,9.33,1.822
"21170",211690,-4.569,9.102,2.045
"21171",211700,-4.642,8.723,2.193
"21172",211710,-4.715,8.344,2.34
"21173",211720,-4.936,7.964,2.415
"21174",211730,-5.084,7.661,2.339
"21175",211740,-5.158,7.509,2.263
"21176",211750,-5.083,7.509,2.263
"21177",211760,-4.86,7.509,2.186
"21178",211770,-4.637,7.509,2.184
"21179",211780,-4.34,7.585,2.182
"21180",211790,-3.968,7.737,2.105
"21181",211800,-3.745,7.813,2.029
"21182",211810,-3.671,7.964,1.88
"21183",211820,-3.747,8.192,1.732
"21184",211830,-3.97,8.268,1.884
"21185",211840,-4.342,8.344,2.112
"21186",211850,-4.49,8.116,2.412
"21187",211860,-4.639,8.116,2.338
"21188",211870,-4.713,8.04,2.114
"21189",211880,-4.712,7.737,2.037
"21190",211890,-4.86,7.357,1.96
"21191",211900,-5.231,7.13,1.962
"21192",211910,-5.38,7.13,1.963
"21193",211920,-5.08,6.675,1.882
"21194",211930,-4.705,5.916,1.649
"21195",211940,-4.407,5.689,1.346
"21196",211950,-3.96,5.689,1.192
"21197",211960,-3.663,5.916,1.491
"21198",211970,-3.516,6.371,1.792
"21199",211980,-3.443,6.523,2.093
"21200",211990,-3.443,6.675,2.468
"21201",212000,-3.294,6.599,2.541
"21202",212010,-3.444,6.826,2.394
"21203",212020,-4.19,7.357,2.254
"21204",212030,-5.905,8.344,2.051
"21205",212040,-6.503,8.951,1.46
"21206",212050,-7.099,9.254,1.318
"21207",212060,-7.698,10.24,0.73
"21208",212070,-7.778,11.606,0.59
"21209",212080,-7.261,12.668,1.117
"21210",212090,-6.817,13.199,1.867
"21211",212100,-6.519,13.274,2.539
"21212",212110,-6.216,11.833,3.276
"21213",212120,-6.511,11.075,3.123
"21214",212130,-6.363,11.302,3.049
"21215",212140,-6.068,11.985,2.826
"21216",212150,-5.474,12.364,2.674
"21217",212160,-5.177,12.44,2.597
"21218",212170,-5.175,12.061,2.295
"21219",212180,-5.396,11.454,1.618
"21220",212190,-5.766,10.771,1.092
"21221",212200,-6.135,10.088,1.24
"21222",212210,-6.504,9.33,1.538
"21223",212220,-6.725,8.799,1.911
"21224",212230,-6.649,8.344,2.207
"21225",212240,-6.274,7.585,2.573
"21226",212250,-5.825,6.826,2.564
"21227",212260,-5.6,6.295,2.484
"21228",212270,-5.225,5.613,2.176
"21229",212280,-4.702,5.082,1.269
"21230",212290,-4.18,4.854,0.963
"21231",212300,-3.659,4.778,1.483
"21232",212310,-3.139,5.006,1.48
"21233",212320,-3.29,5.613,1.486
"21234",212330,-4.191,7.661,1.507
"21235",212340,-3.375,8.268,1.205
"21236",212350,-2.703,7.661,0.595
"21237",212360,-2.404,7.357,0.066
"21238",212370,-2.03,6.751,-0.241
"21239",212380,-1.505,5.84,-0.551
"21240",212390,-0.981,4.93,-1.236
"21241",212400,-0.533,4.551,-1.842
"21242",212410,-0.609,4.93,-2.063
"21243",212420,-0.687,5.84,-1.457
"21244",212430,-0.614,6.22,-0.481
"21245",212440,-0.466,6.599,-0.03
"21246",212450,-0.766,6.978,0.05
"21247",212460,-1.51,6.978,0.131
"21248",212470,-2.179,6.978,0.362
"21249",212480,-2.701,7.13,0.142
"21250",212490,-3.522,7.813,0.603
"21251",212500,-4.045,8.42,1.511
"21252",212510,-4.492,8.495,2.115
"21253",212520,-5.311,8.571,2.647
"21254",212530,-7.027,9.785,4.093
"21255",212540,-8.143,9.709,4.926
"21256",212550,-8.213,8.723,4.92
"21257",212560,-8.283,7.585,4.913
