"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"1",1,0.78,63,110,2.51,2.7
"2",2,2.77,65,117,2.99,3.2
"3",3,3.27,65,120,3.47,3.68
"4",4,3.75,64,123,3.97,4.16
"5",5,4.23,65,123,4.45,4.66
"6",6,4.69,64,123,4.94,5.14
"7",7,5.21,63,121,5.46,5.66
"8",8,5.75,64,118,5.97,6.18
"9",9,6.21,64,115,6.49,6.68
"10",10,6.75,64,118,6.98,7.16
"11",11,7.21,63,123,7.44,7.66
"12",12,7.73,63,123,7.95,8.16
"13",13,8.21,62,120,8.47,8.66
"14",14,8.75,64,116,8.98,9.16
"15",15,9.21,63,120,9.46,9.66
"16",16,9.73,64,120,9.97,10.16
"17",17,10.23,62,118,10.49,10.68
"18",18,10.73,61,118,10.97,11.16
"19",19,11.25,62,118,11.5,11.7
"20",20,11.77,64,120,11.99,12.2
"21",21,12.25,64,120,12.48,12.68
"22",22,12.73,62,121,12.97,13.16
"23",23,13.23,59,123,13.45,13.64
"24",24,13.71,61,123,13.93,14.14
"25",25,14.19,59,121,14.44,14.64
"26",26,14.75,59,120,14.95,15.14
"27",27,15.23,57,118,15.45,15.66
"28",28,15.73,61,120,15.96,16.16
"29",29,16.23,61,120,16.46,16.7
"30",30,16.77,60,117,16.99,17.2
"31",31,17.25,58,118,17.48,17.68
"32",32,17.75,58,118,17.97,18.18
"33",33,18.25,59,121,18.47,18.68
"34",34,18.75,53,118,18.99,19.16
"35",35,19.25,56,120,19.48,19.7
"36",36,19.77,53,117,20.01,20.22
"37",37,20.31,56,117,20.53,20.76
"38",38,20.77,59,115,21.04,21.24
"39",39,21.31,59,116,21.55,21.78
"40",40,21.81,56,116,22.07,22.3
"41",41,22.33,58,116,22.57,22.78
"42",42,22.87,59,116,23.09,23.36
"43",43,23.39,56,114,23.65,23.84
"44",44,23.93,59,114,24.15,24.34
"45",45,24.45,60,114,24.67,24.84
"46",46,24.87,59,118,25.17,25.38
"47",47,25.43,60,116,25.7,25.94
"48",48,25.99,59,116,26.22,26.46
"49",49,26.49,60,115,26.73,26.96
"50",50,27.01,62,116,27.24,27.48
"51",51,27.53,60,115,27.77,28
"52",52,28.03,61,117,28.27,28.52
"53",53,28.53,61,115,28.79,29.06
"54",54,29.07,61,116,29.31,29.5
"55",55,29.59,59,116,29.83,30.06
"56",56,30.13,58,115,30.36,30.6
"57",57,30.63,57,115,30.88,31.06
"58",58,31.13,57,117,31.36,31.6
"59",59,31.65,60,117,31.89,32.14
"60",60,32.15,59,118,32.4,32.64
"61",61,32.69,58,114,32.93,33.16
"62",62,33.23,59,115,33.45,33.64
"63",63,33.73,58,113,33.97,34.22
"64",64,34.25,57,116,34.48,34.74
"65",65,34.77,57,116,34.98,35.24
"66",66,35.27,57,118,35.5,35.76
"67",67,35.81,56,115,36.04,36.3
"68",68,36.33,57,115,36.56,36.8
"69",69,36.85,61,112,37.09,37.34
"70",70,37.37,58,113,37.61,37.86
"71",71,37.89,55,115,38.11,38.36
"72",72,38.39,55,116,38.63,38.88
"73",73,38.91,56,118,39.13,39.38
"74",74,39.43,57,120,39.63,39.84
"75",75,39.91,55,121,40.12,40.34
"76",76,40.37,56,121,40.62,40.84
"77",77,40.91,53,118,41.14,41.38
"78",78,41.41,57,116,41.65,41.86
"79",79,41.95,54,116,42.16,42.38
"80",80,42.43,56,118,42.67,42.9
"81",81,42.95,55,118,43.18,43.36
"82",82,43.45,59,118,43.67,43.86
"83",83,43.95,55,120,44.16,44.38
"84",84,44.45,56,118,44.69,44.92
"85",85,44.99,54,118,45.19,45.44
"86",86,45.49,55,115,45.71,45.96
"87",87,46.01,55,116,46.23,46.48
"88",88,46.53,56,116,46.74,46.96
"89",89,47.05,54,115,47.26,47.46
"90",90,47.57,56,117,47.78,48.02
"91",91,48.07,57,117,48.28,48.54
"92",92,48.57,54,118,48.8,49
"93",93,49.07,55,116,49.32,49.52
"94",94,49.59,52,115,49.82,50.04
"95",95,50.11,55,116,50.34,50.54
"96",96,50.63,51,116,50.85,51.08
"97",97,51.15,52,118,51.35,51.6
"98",98,51.67,54,116,51.88,52.1
"99",99,52.17,56,116,52.4,52.62
"100",100,52.69,57,118,52.88,53.12
"101",101,53.19,55,118,53.39,53.64
"102",102,53.69,55,120,53.89,54.1
"103",103,54.19,54,120,54.38,54.62
"104",104,54.69,54,118,54.91,55.12
"105",105,55.21,56,118,55.41,55.62
"106",106,55.71,58,117,55.92,56.12
"107",107,56.19,57,123,56.38,56.62
"108",108,56.67,57,123,56.88,57.1
"109",109,57.15,61,126,57.35,57.58
"110",110,57.63,59,123,57.84,58.04
"111",111,58.09,55,126,58.3,58.52
"112",112,58.57,55,123,58.8,59.02
"113",113,59.09,57,121,59.31,59.56
"114",114,59.59,58,116,59.83,60.06
"115",115,60.11,57,116,60.33,60.56
"116",116,60.63,59,116,60.85,61.06
"117",117,61.17,57,116,61.37,61.6
"118",118,61.67,60,116,61.88,62.1
"119",119,62.17,58,116,62.4,62.64
"120",120,62.69,57,116,62.91,63.16
"121",121,63.21,54,115,63.44,63.68
"122",122,63.75,55,116,63.94,64.18
"123",123,64.23,56,116,64.45,64.72
"124",124,64.77,56,115,64.99,65.24
"125",125,65.29,52,113,65.51,65.74
"126",126,65.83,52,112,66.04,66.28
"127",127,66.35,58,117,66.54,66.8
"128",128,66.87,53,115,67.07,67.32
"129",129,67.39,55,115,67.61,67.84
"130",130,67.91,53,114,68.11,68.36
"131",131,68.43,54,115,68.63,68.86
"132",132,68.95,56,116,69.15,69.4
"133",133,69.45,55,118,69.64,69.88
"134",134,69.95,56,118,70.16,70.4
"135",135,70.43,54,121,70.64,70.88
"136",136,70.95,56,120,71.14,71.38
"137",137,71.45,48,120,71.65,71.84
"138",138,71.93,55,116,72.18,72.38
"139",139,72.47,56,115,72.7,72.92
"140",140,72.99,57,115,73.22,73.44
"141",141,73.49,55,116,73.72,73.94
"142",142,73.99,56,116,74.24,74.46
"143",143,74.55,54,116,74.75,74.98
"144",144,75.07,59,116,75.25,75.48
"145",145,75.61,60,116,75.78,75.98
"146",146,76.07,57,118,76.28,76.5
"147",147,76.59,58,116,76.8,77.02
"148",148,77.11,56,118,77.3,77.52
"149",149,77.63,59,115,77.83,78.06
"150",150,78.13,59,117,78.34,78.56
"151",151,78.61,61,118,78.82,79.06
"152",152,79.13,58,118,79.35,79.58
"153",153,79.65,55,120,79.84,80.06
"154",154,80.13,57,118,80.34,80.56
"155",155,80.61,59,120,80.86,81.08
"156",156,81.13,56,116,81.38,81.62
"157",157,81.69,57,115,81.9,82.1
"158",158,82.21,58,116,82.41,82.68
"159",159,82.71,58,116,82.92,83.16
"160",160,83.21,59,116,83.44,83.66
"161",161,83.69,54,115,83.95,84.16
"162",162,84.25,56,116,84.46,84.7
"163",163,84.81,56,114,85.01,85.24
"164",164,85.31,55,112,85.56,85.78
"165",165,85.87,56,112,86.06,86.28
"166",166,86.35,56,117,86.56,86.78
"167",167,86.87,55,120,87.05,87.28
"168",168,87.37,55,120,87.56,87.78
"169",169,87.89,56,118,88.08,88.3
"170",170,88.39,55,116,88.59,88.82
"171",171,88.89,54,116,89.1,89.34
"172",172,89.45,56,115,89.64,89.86
"173",173,89.97,54,115,90.16,90.4
"174",174,90.47,53,115,90.65,90.88
"175",175,90.97,58,118,91.16,91.4
"176",176,91.49,55,118,91.67,91.9
"177",177,91.99,55,116,92.19,92.44
"178",178,92.53,55,115,92.72,92.94
"179",179,93.03,54,116,93.22,93.44
"180",180,93.55,54,115,93.75,93.98
"181",181,94.05,55,117,94.25,94.48
"182",182,94.55,54,117,94.75,94.98
"183",183,95.09,52,118,95.28,95.5
"184",184,95.59,51,116,95.79,96
"185",185,96.11,56,116,96.3,96.54
"186",186,96.63,52,115,96.83,97.06
"187",187,97.15,55,117,97.35,97.56
"188",188,97.63,51,117,97.84,98.04
"189",189,98.13,51,120,98.33,98.54
"190",190,98.65,60,120,98.84,99.04
