"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"1",1,3.85,49,110,4.15,4.3
"2",2,4.37,50,112,4.66,4.9
"3",3,4.95,42,112,5.2,5.42
"4",4,5.47,47,113,5.71,5.94
"5",5,6.01,44,115,6.23,6.44
"6",6,6.49,45,118,6.71,6.94
"7",7,6.97,43,121,7.2,7.4
"8",8,7.47,44,121,7.71,7.94
"9",9,7.99,45,118,8.22,8.44
"10",10,8.51,45,115,8.75,8.96
"11",11,9.01,47,115,9.25,9.46
"12",12,9.51,43,118,9.75,9.96
"13",13,10.03,45,120,10.25,10.46
"14",14,10.51,44,120,10.77,10.98
"15",15,11.05,45,120,11.26,11.48
"16",16,11.53,44,120,11.76,11.96
"17",17,12.05,44,121,12.25,12.44
"18",18,12.53,41,121,12.74,12.92
"19",19,12.99,36,120,13.25,13.44
"20",20,13.53,36,118,13.75,13.98
"21",21,14.03,44,118,14.26,14.48
"22",22,14.53,41,118,14.77,14.96
"23",23,15.03,41,118,15.28,15.48
"24",24,15.55,41,116,15.79,16
"25",25,16.09,39,118,16.3,16.5
"26",26,16.57,39,118,16.79,16.98
"27",27,17.07,40,120,17.3,17.5
"28",28,17.61,40,118,17.81,18.02
"29",29,18.09,38,116,18.33,18.54
"30",30,18.61,38,115,18.85,19.04
"31",31,19.13,38,116,19.35,19.56
"32",32,19.67,43,116,19.89,20.08
"33",33,20.17,47,115,20.41,20.64
"34",34,20.69,50,112,20.94,21.18
"35",35,21.25,55,111,21.49,21.72
"36",36,21.79,53,112,22.01,22.24
"37",37,22.31,53,113,22.53,22.78
"38",38,22.85,50,113,23.07,23.28
"39",39,23.37,52,115,23.57,23.78
"40",40,23.87,51,115,24.09,24.3
"41",41,24.39,52,120,24.59,24.8
"42",42,24.87,47,117,25.11,25.3
"43",43,25.37,49,120,25.59,25.8
"44",44,25.87,48,118,26.09,26.3
"45",45,26.37,51,121,26.59,26.8
"46",46,26.87,50,118,27.11,27.32
"47",47,27.41,48,116,27.63,27.82
"48",48,27.89,47,116,28.13,28.34
"49",49,28.41,46,118,28.63,28.82
"50",50,28.91,48,121,29.11,29.32
"51",51,29.39,50,121,29.61,29.82
"52",52,29.91,49,120,30.13,30.34
"53",53,30.41,55,118,30.63,30.84
"54",54,30.93,51,116,31.15,31.36
"55",55,31.43,51,118,31.65,31.86
"56",56,31.93,49,118,32.16,32.38
"57",57,32.43,49,118,32.66,32.88
"58",58,32.97,46,116,33.19,33.4
"59",59,33.49,45,115,33.71,33.94
"60",60,34.03,40,110,34.31,34.56
"61",61,34.61,49,105,34.9,35.16
"62",62,35.21,45,99,35.52,35.74
"63",63,35.83,48,100,36.13,36.4
"64",64,36.43,42,97,36.76,37
"65",65,37.09,41,95,37.43,37.62
"66",66,37.79,39,91,38.08,38.28
"67",67,38.45,46,90,38.77,38.98
"68",68,39.05,52,93,39.37,39.58
"69",69,39.75,46,92,40.06,40.3
"70",70,40.37,46,94,40.7,40.88
"71",71,40.99,46,91,41.33,41.58
"72",72,41.65,47,95,41.94,42.18
"73",73,42.31,43,96,42.56,42.82
"74",74,42.89,53,98,43.18,43.44
"75",75,43.53,48,95,43.85,44.08
"76",76,44.17,50,95,44.46,44.72
"77",77,44.79,47,95,45.08,45.32
"78",78,45.35,50,99,45.67,45.88
"79",79,45.93,49,101,46.26,46.48
"80",80,46.55,53,104,46.82,47.06
"81",81,47.13,48,103,47.41,47.64
"82",82,47.67,53,104,47.98,48.22
"83",83,48.29,46,103,48.55,48.8
"84",84,48.89,47,102,49.16,49.4
"85",85,49.47,49,102,49.74,50
"86",86,50.05,48,100,50.35,50.6
"87",87,50.67,50,101,50.95,51.16
