"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"1",1,9.76,45,110,10.08,10.38
"2",2,10.47,47,103,10.69,10.98
"3",3,11.03,35,101,11.32,11.64
"4",4,11.67,48,94,11.97,12.18
"5",5,12.31,44,97,12.55,12.86
"6",6,13.01,30,96,13.21,13.54
"7",7,13.57,33,98,13.85,14.16
"8",8,14.27,46,96,14.45,14.7
"9",9,14.89,40,94,15.12,15.68
"10",10,15.95,49,81,16.22,16.6
"11",11,16.67,61,79,16.87,17.14
"12",12,17.21,63,83,17.48,17.78
"13",13,17.83,61,97,18.1,18.34
"14",14,18.45,62,99,18.69,18.96
"15",15,19.05,64,98,19.32,19.56
"16",16,19.71,61,97,19.95,20.22
"17",17,20.33,61,95,20.6,20.84
"18",18,20.93,60,94,21.23,21.5
"19",19,21.61,56,95,21.85,22.1
"20",20,22.23,61,95,22.5,22.74
"21",21,22.85,59,96,23.11,23.36
"22",22,23.53,58,94,23.76,24
"23",23,24.11,61,96,24.37,24.6
"24",24,24.75,59,96,24.99,25.28
"25",25,25.37,58,98,25.62,25.9
"26",26,26.03,63,96,26.25,26.52
"27",27,26.61,62,96,26.88,27.14
"28",28,27.25,60,94,27.53,27.78
"29",29,27.91,64,97,28.12,28.3
"30",30,28.39,63,108,28.58,28.82
"31",31,28.85,58,116,29.09,29.3
"32",32,29.43,62,115,29.69,29.92
"33",33,30.05,62,105,30.29,30.5
"34",34,30.65,62,103,30.84,31.08
"35",35,31.19,62,104,31.42,31.68
"36",36,31.77,61,105,32,32.24
"37",37,32.35,62,103,32.57,32.82
"38",38,32.91,60,103,33.15,33.4
"39",39,33.49,61,104,33.71,33.96
"40",40,34.05,63,104,34.28,34.54
"41",41,34.61,61,105,34.85,35.06
"42",42,35.17,60,105,35.41,35.68
"43",43,35.75,61,105,35.98,36.22
"44",44,36.33,59,104,36.56,36.8
"45",45,36.89,60,104,37.14,37.38
"46",46,37.45,60,104,37.7,37.94
"47",47,38.01,63,107,38.25,38.5
"48",48,38.57,61,105,38.83,39.1
"49",49,39.13,59,109,39.35,39.64
"50",50,39.65,62,109,39.89,40.14
"51",51,40.23,64,111,40.45,40.72
"52",52,40.81,62,108,41.03,41.24
"53",53,41.39,59,104,41.61,41.84
"54",54,41.95,58,104,42.18,42.42
"55",55,42.57,61,102,42.77,43.04
"56",56,43.11,59,103,43.35,43.6
"57",57,43.73,59,101,43.95,44.2
"58",58,44.27,59,103,44.51,44.76
"59",59,44.85,59,104,45.07,45.32
"60",60,45.43,57,104,45.67,45.92
"61",61,46.03,59,102,46.27,46.5
"62",62,46.61,57,103,46.82,47.06
"63",63,47.19,61,106,47.38,47.64
"64",64,47.75,57,106,47.97,48.18
"65",65,48.33,58,104,48.53,48.82
"66",66,48.87,58,104,49.1,49.32
"67",67,49.41,60,105,49.67,49.92
"68",68,49.99,59,104,50.24,50.52
"69",69,50.59,57,104,50.81,51.04
"70",70,51.15,60,105,51.36,51.62
"71",71,51.69,59,108,51.91,52.18
"72",72,52.23,60,107,52.48,52.74
"73",73,52.83,60,107,53.06,53.32
"74",74,53.39,60,105,53.62,53.84
"75",75,53.93,59,107,54.17,54.38
"76",76,54.47,60,108,54.71,55.02
"77",77,55.05,61,108,55.28,55.54
"78",78,55.61,57,107,55.85,56.08
"79",79,56.15,59,105,56.4,56.62
"80",80,56.71,57,105,56.97,57.22
"81",81,57.27,59,107,57.53,57.78
"82",82,57.87,61,107,58.1,58.34
"83",83,58.43,61,105,58.67,58.88
"84",84,58.99,60,107,59.21,59.48
"85",85,59.51,58,107,59.77,60.02
"86",86,60.09,60,108,60.33,60.58
"87",87,60.69,58,107,60.9,61.16
"88",88,61.21,60,107,61.45,61.72
"89",89,61.81,60,105,62.04,62.28
"90",90,62.37,61,108,62.55,62.8
"91",91,62.95,59,106,63.15,63.4
"92",92,63.49,60,106,63.72,64
"93",93,64.09,58,103,64.3,64.58
"94",94,64.69,58,103,64.89,65.14
"95",95,65.25,55,102,65.5,65.76
"96",96,65.85,60,103,66.04,66.3
"97",97,66.43,58,103,66.63,66.88
"98",98,66.99,56,104,67.22,67.46
"99",99,67.57,58,101,67.81,68.06
"100",100,68.17,59,102,68.39,68.64
"101",101,68.75,59,101,68.99,69.26
"102",102,69.33,57,103,69.56,69.82
"103",103,69.89,58,103,70.13,70.4
"104",104,70.49,54,104,70.71,71
"105",105,71.09,57,100,71.35,71.64
"106",106,71.67,56,101,71.91,72.2
"107",107,72.25,59,101,72.5,72.78
"108",108,72.85,55,103,73.08,73.32
"109",109,73.45,55,102,73.67,73.92
"110",110,74.03,59,102,74.25,74.5
"111",111,74.59,57,105,74.8,75.06
"112",112,75.15,57,105,75.38,75.62
"113",113,75.73,58,107,75.93,76.16
"114",114,76.29,60,103,76.53,76.76
"115",115,76.87,57,104,77.09,77.34
