"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"1",1,2.85,58,110,3.06,3.24
"2",2,3.25,57,120,3.51,3.7
"3",3,3.82,56,121,3.99,4.2
"4",4,4.25,57,128,4.45,4.64
"5",5,4.69,57,130,4.89,5.08
"6",6,5.13,58,134,5.34,5.52
"7",7,5.59,56,133,5.79,5.96
"8",8,6.03,54,132,6.24,6.42
"9",9,6.47,56,132,6.68,6.86
"10",10,6.94,56,135,7.14,7.35
"11",11,7.37,57,134,7.6,7.78
"12",12,7.83,58,134,8.04,8.22
"13",13,8.27,54,132,8.49,8.68
"14",14,8.73,51,130,8.96,9.16
"15",15,9.22,55,123,9.5,9.69
"16",16,9.77,57,119,10,10.16
"17",17,10.27,55,117,10.52,10.68
"18",18,10.8,57,115,11.06,11.25
"19",19,11.34,51,112,11.6,11.8
"20",20,11.88,56,111,12.14,12.35
"21",21,12.39,52,111,12.66,12.86
"22",22,12.97,50,111,13.22,13.4
"23",23,13.47,52,107,13.79,13.98
"24",24,14.07,50,107,14.35,14.53
"25",25,14.61,50,108,14.88,15.09
"26",26,15.19,52,107,15.47,15.68
"27",27,15.76,52,105,16.05,16.29
"28",28,16.34,51,103,16.62,16.82
"29",29,16.89,53,105,17.17,17.38
"30",30,17.49,58,107,17.73,17.92
"31",31,18.03,53,108,18.28,18.5
"32",32,18.59,51,105,18.87,19.08
"33",33,19.21,49,101,19.5,19.7
"34",34,19.85,46,98,20.12,20.38
"35",35,20.47,50,96,20.75,21.04
"36",36,21.11,50,96,21.39,21.58
"37",37,21.73,53,94,22.04,22.32
"38",38,22.41,50,93,22.68,22.88
"39",39,23.07,55,93,23.33,23.68
"40",40,23.73,51,93,23.99,24.28
"41",41,24.39,52,93,24.63,24.89
"42",42,25.01,48,92,25.29,25.52
"43",43,25.71,49,92,25.95,26.2
"44",44,26.35,49,91,26.6,26.84
"45",45,27.03,50,93,27.24,27.45
"46",46,27.59,54,97,27.81,28
"47",47,28.17,52,102,28.38,28.54
"48",48,28.73,52,105,28.94,29.19
"49",49,29.29,50,107,29.5,29.72
"50",50,29.84,52,108,30.05,30.23
"51",51,30.35,52,111,30.56,30.74
"52",52,30.88,49,112,31.1,31.34
"53",53,31.41,50,112,31.62,31.84
"54",54,31.93,50,115,32.11,32.36
"55",55,32.41,53,117,32.63,32.86
"56",56,32.97,50,117,33.17,33.38
"57",57,33.47,52,115,33.68,33.84
"58",58,33.99,51,115,34.2,34.42
"59",59,34.49,52,116,34.72,34.9
"60",60,35.06,55,115,35.25,35.49
"61",61,35.55,51,113,35.77,36
"62",62,36.11,51,113,36.3,36.54
"63",63,36.61,49,111,36.85,37.06
"64",64,37.19,57,111,37.4,37.64
"65",65,37.75,53,109,37.93,38.16
"66",66,38.27,50,108,38.51,38.7
"67",67,38.89,51,104,39.12,39.36
"68",68,39.49,56,103,39.68,39.88
"69",69,40.11,44,101,40.29,40.48
"70",70,40.67,49,102,40.86,41.06
"71",71,41.27,45,100,41.47,41.68
"72",72,41.81,49,103,42.02,42.18
"73",73,42.39,42,103,42.6,42.74
"74",74,42.97,48,105,43.17,43.4
"75",75,43.51,50,107,43.71,43.9
"76",76,44.11,41,107,44.3,44.48
"77",77,44.67,51,108,44.84,45.06
"78",78,45.19,48,107,45.39,45.63
"79",79,45.77,50,109,45.95,46.16
"80",80,46.27,53,109,46.48,46.74
"81",81,46.81,52,112,47,47.14
"82",82,47.35,48,113,47.51,47.66
"83",83,47.87,47,115,48.04,48.18
"84",84,48.37,45,115,48.56,48.72
"85",85,48.91,44,115,49.07,49.22
"86",86,49.47,47,113,49.62,49.76
"87",87,49.97,48,113,50.14,50.3
"88",88,50.5,49,113,50.67,50.83
"89",89,51.04,50,113,51.19,51.34
"90",90,51.53,51,115,51.7,51.84
"91",91,52.03,47,114,52.22,52.36
"92",92,52.57,49,115,52.75,52.9
"93",93,53.07,48,115,53.26,53.42
"94",94,53.63,49,115,53.79,53.92
"95",95,54.11,49,118,54.28,54.44
"96",96,54.65,47,117,54.8,54.94
"97",97,55.15,48,117,55.34,55.46
"98",98,55.63,49,117,55.81,55.96
"99",99,56.15,48,117,56.34,56.5
"100",100,56.59,49,120,56.83,57.04
"101",101,57.13,49,118,57.33,57.52
"102",102,57.63,47,120,57.84,58.04
"103",103,58.15,51,118,58.35,58.56
"104",104,58.67,49,118,58.86,59.06
"105",105,59.19,49,116,59.38,59.54
"106",106,59.71,50,118,59.88,60.04
"107",107,60.19,50,120,60.36,60.52
"108",108,60.69,46,121,60.85,61
"109",109,61.21,47,121,61.36,61.5
"110",110,61.69,44,121,61.84,62.1
"111",111,62.21,46,120,62.37,62.5
"112",112,62.73,40,118,62.88,63.14
"113",113,63.25,38,115,63.4,63.66
"114",114,63.77,46,111,63.98,64.12
