"","Time.Date","Acc.X","Acc.Y","Acc.Z"
"35501",355000,1.544,1.197,6.544
"35502",355010,1.32,0.896,7.288
"35503",355020,0.723,0.971,7.892
"35504",355030,0.201,0.67,8.194
"35505",355040,-0.918,-0.008,9.022
"35506",355050,-2.488,0.971,11.361
"35507",355060,-3.161,2.478,12.205
"35508",355070,-2.64,3.908,11.989
"35509",355080,-1.147,3.908,12.712
"35510",355090,0.496,3.155,14.021
"35511",355100,1.767,2.026,14.363
"35512",355110,2.59,0.52,14.112
"35513",355120,3.04,-0.685,13.945
"35514",355130,3.04,-1.137,13.642
"35515",355140,1.769,0.068,11.366
"35516",355150,0.799,0.068,9.594
"35517",355160,1.248,-1.137,10.17
"35518",355170,2.518,-1.288,11.713
"35519",355180,3.488,-0.685,13.045
"35520",355190,3.188,-0.158,13.353
"35521",355200,2.143,0.068,13.295
"35522",355210,1.247,-0.008,13.382
"35523",355220,0.724,0.369,12.947
"35524",355230,0.2,1.197,12.07
"35525",355240,-0.249,1.875,11.339
"35526",355250,-0.548,2.176,10.751
"35527",355260,-0.772,2.101,10.158
"35528",355270,-0.696,1.649,9.706
"35529",355280,-0.323,1.273,9.399
"35530",355290,0.125,1.197,8.945
"35531",355300,0.275,1.122,8.942
"35532",355310,0.275,0.896,8.94
"35533",355320,0.2,1.122,7.157
"35534",355330,-0.024,1.348,4.856
"35535",355340,-0.621,1.197,4.639
"35536",355350,-0.77,0.896,5.755
"35537",355360,-0.397,0.746,6.566
"35538",355370,0.499,0.67,6.851
"35539",355380,1.321,0.143,7.875
"35540",355390,1.845,-0.685,8.901
"35541",355400,1.995,-1.212,8.894
"35542",355410,2.07,-1.212,8.148
"35543",355420,1.995,-0.986,7.854
"35544",355430,1.994,-0.685,7.485
"35545",355440,2.068,-0.233,6.819
"35546",355450,2.143,0.143,6.971
"35547",355460,1.919,0.068,7.345
"35548",355470,1.769,0.143,7.348
"35549",355480,1.844,0.369,7.573
"35550",355490,1.695,-0.008,8.389
"35551",355500,1.173,-0.761,8.463
"35552",355510,0.352,-0.61,7.658
"35553",355520,-0.545,0.068,7.827
"35554",355530,-1.741,0.746,8.744
"35555",355540,-2.787,1.423,9.733
"35556",355550,-2.787,1.724,10.257
"35557",355560,-2.563,1.724,11.891
"35558",355570,-3.085,1.348,14.574
"35559",355580,-1.815,0.746,14.549
"35560",355590,-0.024,1.047,13.783
"35561",355600,1.32,0.971,14.135
"35562",355610,2.665,0.52,14.856
"35563",355620,3.487,-0.384,14.314
"35564",355630,2.666,-0.761,12.461
"35565",355640,1.023,-0.384,9.66
"35566",355650,0.726,-1.363,9.282
"35567",355660,1.623,-2.568,11.117
"35568",355670,2.892,-2.568,12.811
"35569",355680,3.563,-1.589,13.481
"35570",355690,2.965,-0.535,13.203
"35571",355700,1.695,-0.158,12.927
"35572",355710,0.426,-0.083,12.872
"35573",355720,-0.471,0.143,12.44
"35574",355730,-1.143,0.52,11.635
"35575",355740,-1.218,0.971,10.748
"35576",355750,-0.845,1.197,10.298
"35577",355760,-0.397,1.047,9.993
"35578",355770,-0.098,0.746,9.613
"35579",355780,0.052,0.52,8.939
"35580",355790,0.052,0.444,8.566
"35581",355800,0.052,0.294,8.267
"35582",355810,0.126,0.595,7.748
"35583",355820,0.126,0.67,7.228
"35584",355830,-0.023,0.52,6.856
"35585",355840,-0.172,0.444,6.337
"35586",355850,-0.098,0.52,6.411
"35587",355860,0.126,0.595,6.632
"35588",355870,0.425,0.595,7.595
"35589",355880,0.649,0.218,8.779
"35590",355890,0.799,-0.158,9.145
"35591",355900,0.725,-0.535,9.291
"35592",355910,0.725,-0.61,9.067
"35593",355920,0.724,-0.233,8.401
"35594",355930,0.575,0.143,7.737
"35595",355940,0.425,0.369,7.221
"35596",355950,0.351,0.218,7.22
"35597",355960,0.5,0.068,7.068
"35598",355970,1.023,-0.158,7.132
"35599",355980,2.068,0.218,7.642
"35600",355990,2.143,0.143,8.385
"35601",356000,1.621,-0.61,9.426
"35602",356010,0.725,-0.986,9.732
"35603",356020,-0.096,-0.61,9.45
"35604",356030,-0.769,-0.008,9.689
"35605",356040,-1.293,0.67,10.002
"35606",356050,-1.667,1.348,10.014
"35607",356060,-1.816,1.574,10.465
"35608",356070,-1.293,1.348,10.827
"35609",356080,-0.397,0.746,10.064
"35610",356090,-0.546,0.369,11.551
"35611",356100,-0.545,-0.008,12.291
"35612",356110,0.425,0.52,11.241
