"","Time.Date","Acc.X","Acc.Y","Acc.Z"
"17141",171400,-2.114,1.197,9.349
"17142",171410,-2.04,1.122,9.57
"17143",171420,-1.367,0.821,9.111
"17144",171430,-0.546,0.52,9.245
"17145",171440,-0.247,0.444,9.612
"17146",171450,-0.845,0.821,10.071
"17147",171460,-1.741,1.197,10.162
"17148",171470,-2.114,1.047,9.943
"17149",171480,-2.189,0.821,9.793
"17150",171490,-2.114,0.821,9.866
"17151",171500,-1.965,0.821,9.864
"17152",171510,-1.965,1.047,9.866
"17153",171520,-1.891,1.348,9.868
"17154",171530,-1.667,1.724,9.795
"17155",171540,-1.518,1.875,9.72
"17156",171550,-1.593,1.875,9.646
"17157",171560,-1.07,1.95,10.235
"17158",171570,-0.995,1.649,9.71
"17159",171580,-1.443,1.499,9.194
"17160",171590,-1.293,1.197,8.891
"17161",171600,-0.919,0.746,8.806
"17162",171610,-0.919,0.294,9.323
"17163",171620,-0.919,0.218,9.694
"17164",171630,-0.545,0.218,9.614
"17165",171640,-0.471,0.143,9.836
"17166",171650,-0.919,0.143,10.363
"17167",171660,-1.666,0.444,10.302
"17168",171670,-1.741,0.896,9.787
"17169",171680,-1.592,1.348,9.269
"17170",171690,-1.443,1.649,9.344
"17171",171700,-1.667,1.273,9.864
"17172",171710,-1.815,0.595,10.157
"17173",171720,-1.74,0.068,10.076
"17174",171730,-1.441,-0.158,9.697
"17175",171740,-0.993,-0.083,9.766
"17176",171750,-0.62,0.294,9.69
"17177",171760,-0.322,0.52,9.54
"17178",171770,-0.247,0.444,9.315
"17179",171780,-0.396,0.52,9.094
"17180",171790,-0.77,0.595,9.472
"17181",171800,-0.994,0.444,9.772
"17182",171810,-0.77,0.369,9.693
"17183",171820,-0.471,0.444,9.615
"17184",171830,-0.471,0.595,9.468
"17185",171840,-0.62,0.595,9.619
"17186",171850,-0.696,0.896,9.698
"17187",171860,-0.696,0.896,9.623
"17188",171870,-0.62,0.595,9.768
"17189",171880,-0.77,0.369,10.214
"17190",171890,-1.217,0.218,9.921
"17191",171900,-1.292,0.143,9.698
"17192",171910,-1.441,0.294,10
"17193",171920,-1.442,0.369,10.001
"17194",171930,-1.218,0.52,9.999
"17195",171940,-0.77,0.896,9.773
"17196",171950,-0.397,0.971,9.769
"17197",171960,-0.322,0.746,9.691
"17198",171970,-0.471,0.444,9.764
"17199",171980,-0.62,0.369,9.84
"17200",171990,-0.844,0.444,9.918
"17201",172000,-1.068,0.595,10.072
"17202",172010,-1.367,0.746,10.078
"17203",172020,-1.367,0.595,10.076
"17204",172030,-0.994,0.595,9.997
"17205",172040,-0.397,0.746,9.841
"17206",172050,-0.098,0.821,9.763
"17207",172060,-0.173,0.896,9.616
"17208",172070,-0.173,0.67,9.465
"17209",172080,-0.172,0.218,9.683
"17210",172090,-0.545,-0.158,9.908
"17211",172100,-1.217,-0.384,9.915
"17212",172110,-1.739,-0.309,10.147
"17213",172120,-1.964,-0.158,10.077
"17214",172130,-1.814,0.068,9.407
"17215",172140,-1.517,0.821,8.369
"17216",172150,-1.592,1.047,9.117
"17217",172160,-1.366,-0.158,10.366
"17218",172170,-0.917,-1.062,10.425
"17219",172180,-0.768,-0.911,10.796
"17220",172190,-0.619,-0.761,10.721
"17221",172200,-1.067,-0.685,9.687
"17222",172210,-1.814,-0.309,8.362
"17223",172220,-2.562,0.67,8.01
"17224",172230,-3.16,1.724,8.997
"17225",172240,-3.235,1.499,10.484
"17226",172250,-2.785,-0.158,11.13
"17227",172260,-2.41,-1.438,11.112
"17228",172270,-2.485,-1.288,10.445
"17229",172280,-2.561,0.143,9.047
"17230",172290,-2.114,1.122,8.157
"17231",172300,-2.263,0.821,8.603
"17232",172310,-2.487,0.444,9.421
"17233",172320,-2.263,0.218,10.234
"17234",172330,-1.74,-0.008,10.596
"17235",172340,-1.441,-0.083,9.921
"17236",172350,-1.292,-0.008,8.804
"17237",172360,-1.367,0.369,8.139
"17238",172370,-1.815,0.896,8.821
"17239",172380,-2.115,1.423,9.5
"17240",172390,-2.189,1.273,10.467
"17241",172400,-2.114,0.67,10.683
"17242",172410,-1.89,0.67,9.712
"17243",172420,-1.741,1.273,8.749
"17244",172430,-1.817,1.8,8.16
"17245",172440,-1.966,1.724,8.31
"17246",172450,-1.965,1.197,8.9
"17247",172460,-1.815,0.896,8.969
"17248",172470,-1.965,0.896,8.897
"17249",172480,-2.637,1.273,9.729
"17250",172490,-3.011,1.499,10.63
"17251",172500,-2.787,1.499,10.106
"17252",172510,-3.01,0.67,9.356
"17253",172520,-2.786,0.896,9.281
"17254",172530,-2.637,1.499,9.136
"17255",172540,-2.638,1.724,8.99
"17256",172550,-2.787,1.724,9.141
