"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"1",1,3.31,47,110,3.66,3.8
"2",2,4.01,60,103,4.29,4.5
"3",3,4.71,64,101,4.91,5.12
"4",4,5.29,65,94,5.57,5.76
"5",5,5.83,65,97,6.14,6.38
"6",6,6.49,63,98,6.74,6.98
"7",7,7.05,65,104,7.31,7.54
"8",8,7.63,64,103,7.89,8.12
"9",9,8.21,65,104,8.46,8.72
"10",10,8.85,65,101,9.08,9.28
"11",11,9.47,65,101,9.66,9.88
"12",12,9.99,64,101,10.25,10.48
"13",13,10.59,62,102,10.85,11.06
"14",14,11.17,64,102,11.43,11.68
"15",15,11.75,64,102,12.01,12.22
"16",16,12.31,63,103,12.58,12.8
"17",17,12.91,65,103,13.17,13.4
"18",18,13.49,62,102,13.76,14.02
"19",19,14.11,63,101,14.37,14.58
"20",20,14.71,64,101,14.95,15.2
"21",21,15.31,63,101,15.56,15.76
"22",22,15.85,64,102,16.12,16.36
"23",23,16.47,65,101,16.72,17.04
"24",24,17.09,65,100,17.35,17.6
"25",25,17.69,60,98,17.96,18.22
"26",26,18.33,59,98,18.57,18.82
"27",27,18.93,54,97,19.19,19.44
"28",28,19.57,47,97,19.82,20.16
"29",29,20.25,44,92,20.51,20.8
"30",30,20.89,47,92,21.17,21.46
"31",31,21.49,53,93,21.75,22.08
"32",32,22.13,53,97,22.38,22.62
"33",33,22.71,50,99,22.97,23.22
"34",34,23.33,44,98,23.59,23.88
"35",35,23.95,47,98,24.22,24.48
"36",36,24.57,48,97,24.84,25.12
"37",37,25.23,48,96,25.47,25.7
"38",38,25.79,46,97,26.08,26.32
"39",39,26.43,47,97,26.7,27
"40",40,27.05,44,97,27.33,27.62
"41",41,27.69,45,96,27.95,28.26
"42",42,28.35,44,93,28.62,28.92
"43",43,29.03,44,92,29.29,29.54
"44",44,29.61,45,93,29.89,30.2
"45",45,30.27,47,96,30.52,30.84
"46",46,30.93,46,96,31.18,31.44
"47",47,31.49,44,96,31.78,31.98
"48",48,32.11,48,98,32.37,32.6
"49",49,32.71,43,100,32.98,33.26
"50",50,33.33,46,99,33.59,33.84
"51",51,33.95,42,97,34.23,34.44
"52",52,34.57,40,98,34.83,35.06
"53",53,35.13,42,99,35.42,35.66
"54",54,35.77,37,99,36.03,36.34
"55",55,36.43,44,97,36.67,36.92
"56",56,37.05,45,95,37.32,37.56
"57",57,37.69,42,94,37.96,38.22
"58",58,38.29,45,96,38.55,38.84
"59",59,38.91,46,98,39.15,39.44
"60",60,39.51,44,100,39.75,40.02
"61",61,40.11,46,98,40.39,40.64
"62",62,40.75,44,96,41.03,41.34
"63",63,41.41,46,94,41.68,41.9
"64",64,42.03,47,94,42.32,42.64
"65",65,42.71,46,93,42.98,43.26
"66",66,43.33,47,92,43.63,43.84
"67",67,44.01,47,92,44.27,44.56
"68",68,44.67,49,93,44.91,45.12
"69",69,45.31,49,94,45.55,45.76
"70",70,45.91,45,94,46.19,46.4
"71",71,46.55,48,95,46.82,47.12
"72",72,47.19,46,95,47.46,47.76
"73",73,47.83,45,95,48.09,48.4
"74",74,48.49,47,93,48.75,49.06
"75",75,49.13,49,95,49.37,49.68
"76",76,49.77,49,95,50,50.32
"77",77,50.39,44,95,50.67,50.88
"78",78,51.01,47,94,51.28,51.58
"79",79,51.67,49,94,51.92,52.22
"80",80,52.31,48,95,52.57,52.8
"81",81,52.95,47,95,53.2,53.5
"82",82,53.55,46,95,53.81,54.06
"83",83,54.19,45,95,54.45,54.76
"84",84,54.85,46,93,55.13,55.4
"85",85,55.51,47,93,55.76,56.1
"86",86,56.15,45,94,56.39,56.7
"87",87,56.79,41,93,57.05,57.3
"88",88,57.43,44,93,57.7,57.92
"89",89,58.05,43,92,58.33,58.62
"90",90,58.71,47,95,58.99,59.22
"91",91,59.37,45,94,59.62,59.92
"92",92,60.01,44,93,60.27,60.58
"93",93,60.63,45,93,60.89,61.2
"94",94,61.27,46,95,61.51,61.8
"95",95,61.91,45,96,62.16,62.48
"96",96,62.55,43,94,62.81,63.02
"97",97,63.17,43,95,63.42,63.72
"98",98,63.79,44,95,64.05,64.32
"99",99,64.43,42,97,64.68,64.98
"100",100,65.05,43,96,65.29,65.58
"101",101,65.65,42,98,65.9,66.16
"102",102,66.27,45,99,66.5,66.82
"103",103,66.87,41,98,67.13,67.46
"104",104,67.51,46,97,67.77,68.08
"105",105,68.17,44,94,68.43,68.72
"106",106,68.79,44,95,69.04,69.36
"107",107,69.43,42,94,69.68,69.98
"108",108,70.05,41,96,70.29,70.54
"109",109,70.67,40,95,70.93,71.22
"110",110,71.31,40,96,71.56,71.76
"111",111,71.97,40,95,72.2,72.46
"112",112,72.55,42,97,72.8,72.98
"113",113,73.19,44,97,73.42,73.72
"114",114,73.81,41,97,74.05,74.28
"115",115,74.43,41,96,74.67,74.88
"116",116,75.07,44,95,75.31,75.54
"117",117,75.69,38,94,75.98,76.18
"118",118,76.33,39,93,76.6,76.82
"119",119,76.97,37,94,77.23,77.44
"120",120,77.61,44,97,77.84,78.14
"121",121,78.21,41,98,78.48,78.76
"122",122,78.85,42,98,79.09,79.38
"123",123,79.49,41,95,79.74,79.96
"124",124,80.15,42,94,80.39,80.68
"125",125,80.75,39,94,80.99,81.28
"126",126,81.37,36,96,81.62,81.9
"127",127,81.97,37,97,82.23,82.42
"128",128,82.59,36,98,82.83,83.14
"129",129,83.21,45,100,83.43,83.7
"130",130,83.79,43,99,84.08,84.26
"131",131,84.37,41,99,84.66,84.92
"132",132,84.99,41,98,85.25,85.52
"133",133,85.61,40,99,85.87,86.16
"134",134,86.25,40,99,86.49,86.7
"135",135,86.87,39,97,87.11,87.38
"136",136,87.47,40,98,87.71,87.98
"137",137,88.07,39,97,88.33,88.62
"138",138,88.69,42,99,88.94,89.16
"139",139,89.31,38,98,89.55,89.82
"140",140,89.93,40,99,90.15,90.46
"141",141,90.53,37,98,90.77,91.04
"142",142,91.13,41,100,91.36,91.66
"143",143,91.73,39,100,91.97,92.26
"144",144,92.31,39,101,92.57,92.84
"145",145,92.93,37,98,93.19,93.46
"146",146,93.55,39,98,93.79,94.08
"147",147,94.17,40,97,94.41,94.7
"148",148,94.79,38,98,95.04,95.34
"149",149,95.43,39,98,95.64,95.86
"150",150,96.07,38,95,96.32,96.56
"151",151,96.8,15,90,97.03,97.17
