"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"1",1,2.36,38,110,2.61,2.82
"2",2,2.87,42,112,3.13,3.3
"3",3,3.37,40,115,3.63,3.8
"4",4,3.87,41,120,4.11,4.3
"5",5,4.39,40,120,4.62,4.82
"6",6,4.87,37,120,5.15,5.32
"7",7,5.39,39,116,5.64,5.82
"8",8,5.91,38,118,6.15,6.34
"9",9,6.39,39,118,6.65,6.84
"10",10,6.91,35,118,7.16,7.32
"11",11,7.39,50,121,7.63,7.8
"12",12,7.89,51,121,8.12,8.3
"13",13,8.39,48,121,8.64,8.8
"14",14,8.89,45,120,9.12,9.3
"15",15,9.37,47,121,9.61,9.8
"16",16,9.87,47,125,10.09,10.28
"17",17,10.35,46,123,10.58,10.76
"18",18,10.87,44,121,11.09,11.28
"19",19,11.31,50,121,11.56,11.76
"20",20,11.79,47,123,12.06,12.24
"21",21,12.31,48,123,12.55,12.76
"22",22,12.83,51,121,13.04,13.24
"23",23,13.29,46,123,13.51,13.74
"24",24,13.81,44,123,14.01,14.2
"25",25,14.27,46,125,14.49,14.66
"26",26,14.75,43,123,14.96,15.18
"27",27,15.23,45,125,15.45,15.66
"28",28,15.73,44,121,15.96,16.16
"29",29,16.21,51,121,16.45,16.64
"30",30,16.69,48,120,16.93,17.16
"31",31,17.21,43,120,17.45,17.62
"32",32,17.67,50,123,17.91,18.12
"33",33,18.17,42,123,18.4,18.58
"34",34,18.63,50,128,18.86,19.04
"35",35,19.09,47,125,19.34,19.52
"36",36,19.61,50,125,19.84,20.02
"37",37,20.11,47,123,20.32,20.5
"38",38,20.57,53,123,20.81,21.02
"39",39,21.05,53,126,21.27,21.48
"40",40,21.55,48,125,21.76,21.96
"41",41,22.03,50,126,22.24,22.42
"42",42,22.51,48,123,22.72,22.9
"43",43,22.99,48,125,23.2,23.4
"44",44,23.45,49,123,23.68,23.88
"45",45,23.95,49,123,24.18,24.36
"46",46,24.45,50,123,24.67,24.86
"47",47,24.93,54,125,25.14,25.36
"48",48,25.41,51,126,25.61,25.8
"49",49,25.85,53,128,26.07,26.26
"50",50,26.31,48,125,26.56,26.76
"51",51,26.83,51,125,27.06,27.26
"52",52,27.29,48,121,27.55,27.72
"53",53,27.79,47,125,28,28.2
"54",54,28.29,50,123,28.51,28.74
"55",55,28.81,49,121,29.02,29.22
"56",56,29.27,51,118,29.53,29.72
"57",57,29.81,53,118,30.04,30.22
"58",58,30.33,50,118,30.56,30.8
"59",59,30.85,48,118,31.05,31.24
"60",60,31.27,51,118,31.54,31.76
"61",61,31.79,46,120,32.04,32.22
"62",62,32.29,45,123,32.51,32.7
"63",63,32.75,47,123,33.01,33.2
"64",64,33.29,52,125,33.49,33.7
"65",65,33.75,51,121,33.99,34.16
"66",66,34.23,48,121,34.49,34.66
"67",67,34.75,49,121,34.97,35.14
"68",68,35.25,48,123,35.45,35.62
"69",69,35.73,49,125,35.93,36.1
