"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"1",1,2.33,60,110,2.56,2.8
"2",2,2.85,60,112,3.08,3.26
"3",3,3.33,60,116,3.57,3.74
"4",4,3.81,56,123,4.03,4.28
"5",5,4.31,60,122,4.56,4.8
"6",6,4.83,60,120,5.06,5.28
"7",7,5.33,59,117,5.56,5.78
"8",8,5.85,59,118,6.08,6.3
"9",9,6.37,59,115,6.61,6.84
"10",10,6.89,59,115,7.13,7.36
"11",11,7.41,59,115,7.65,7.86
"12",12,7.91,59,116,8.17,8.42
"13",13,8.43,61,116,8.66,8.9
"14",14,8.95,59,115,9.21,9.44
"15",15,9.47,59,115,9.72,9.96
"16",16,10.01,59,112,10.26,10.5
"17",17,10.55,60,113,10.79,11
"18",18,11.09,62,112,11.32,11.54
"19",19,11.63,60,112,11.86,12.12
"20",20,12.15,58,111,12.4,12.62
"21",21,12.67,59,114,12.91,13.16
"22",22,13.19,58,114,13.44,13.68
"23",23,13.73,56,115,13.97,14.2
"24",24,14.21,51,111,14.51,14.72
"25",25,14.79,60,114,15.03,15.28
"26",26,15.35,55,110,15.6,15.84
"27",27,15.89,60,112,16.13,16.36
"28",28,16.41,58,109,16.67,16.92
"29",29,16.95,58,112,17.2,17.46
"30",30,17.51,54,109,17.76,17.98
"31",31,18.07,60,109,18.32,18.52
"32",32,18.67,59,107,18.89,19.1
"33",33,19.23,59,105,19.46,19.66
"34",34,19.77,59,105,20,20.24
"35",35,20.33,59,107,20.56,20.72
"36",36,20.89,59,109,21.11,21.32
"37",37,21.47,58,107,21.69,21.92
"38",38,22.01,55,107,22.24,22.5
"39",39,22.53,57,105,22.79,23.04
"40",40,23.09,59,109,23.32,23.56
"41",41,23.67,60,109,23.89,24.12
"42",42,24.19,60,109,24.43,24.64
"43",43,24.73,59,109,24.96,25.2
"44",44,25.25,60,111,25.5,25.78
"45",45,25.81,61,112,26.04,26.32
"46",46,26.35,58,111,26.59,26.84
"47",47,26.91,59,109,27.14,27.4
"48",48,27.43,61,109,27.68,27.96
"49",49,27.99,59,109,28.23,28.48
"50",50,28.55,59,108,28.81,29.06
"51",51,29.09,59,108,29.35,29.64
"52",52,29.65,59,107,29.91,30.16
"53",53,30.23,56,106,30.49,30.76
"54",54,30.79,57,106,31.05,31.3
"55",55,31.33,56,104,31.62,31.86
"56",56,31.93,56,105,32.22,32.4
"57",57,32.49,57,104,32.75,32.98
"58",58,33.05,56,107,33.3,33.56
"59",59,33.61,59,108,33.85,34.1
"60",60,34.17,57,109,34.41,34.62
"61",61,34.69,57,109,34.94,35.14
"62",62,35.17,58,111,35.48,35.74
"63",63,35.77,57,109,36.03,36.3
"64",64,36.35,54,107,36.61,36.82
"65",65,36.89,59,107,37.16,37.36
"66",66,37.39,56,108,37.7,37.9
"67",67,38.01,57,109,38.25,38.46
"68",68,38.49,57,108,38.81,39.04
"69",69,39.11,56,107,39.37,39.64
"70",70,39.67,56,107,39.94,40.16
"71",71,40.23,55,107,40.5,40.74
"72",72,40.81,57,107,41.06,41.28
"73",73,41.39,52,104,41.66,41.92
"74",74,41.95,55,104,42.21,42.5
"75",75,42.51,56,104,42.78,43.02
"76",76,43.07,58,108,43.33,43.58
"77",77,43.63,57,106,43.91,44.18
"78",78,44.21,58,106,44.48,44.74
"79",79,44.79,57,103,45.06,45.32
"80",80,45.39,59,104,45.64,45.88
"81",81,45.97,57,103,46.22,46.5
"82",82,46.53,56,104,46.79,47.06
"83",83,47.11,56,104,47.36,47.6
"84",84,47.67,58,107,47.91,48.18
"85",85,48.23,50,105,48.49,48.72
"86",86,48.77,57,107,49.05,49.32
"87",87,49.37,54,104,49.62,49.88
"88",88,49.93,56,104,50.21,50.44
"89",89,50.49,57,105,50.74,50.98
"90",90,51.03,57,108,51.31,51.56
"91",91,51.57,56,108,51.85,52.12
"92",92,52.17,54,107,52.43,52.64
"93",93,52.73,56,104,52.99,53.26
"94",94,53.31,52,105,53.56,53.8
"95",95,53.87,51,105,54.12,54.4
"96",96,54.43,51,105,54.69,54.92
"97",97,55.01,54,105,55.27,55.52
"98",98,55.55,54,105,55.82,56.08
"99",99,56.15,56,105,56.39,56.64
"100",100,56.71,54,105,56.96,57.22
"101",101,57.27,53,104,57.54,57.8
"102",102,57.85,56,103,58.12,58.38
"103",103,58.43,57,104,58.68,58.94
"104",104,58.99,55,104,59.26,59.52
"105",105,59.57,55,104,59.85,60.14
"106",106,60.17,56,102,60.44,60.66
"107",107,60.75,55,102,61.03,61.3
"108",108,61.33,55,101,61.63,61.86
"109",109,61.95,54,101,62.22,62.46
"110",110,62.53,52,102,62.78,63.04
"111",111,63.09,61,110,63.29,63.58
"112",112,63.61,57,109,63.88,64.16
"113",113,64.17,57,110,64.42,64.68
"114",114,64.73,59,106,64.97,65.18
"115",115,65.27,59,109,65.52,65.78
"116",116,65.81,60,109,66.07,66.34
"117",117,66.37,60,109,66.63,66.9
"118",118,66.93,59,108,67.19,67.46
"119",119,67.49,57,105,67.77,68.04
"120",120,68.11,57,103,68.37,68.62
"121",121,68.63,58,104,68.9,69.12
"122",122,69.21,58,104,69.48,69.74
"123",123,69.77,57,107,70.05,70.3
"124",124,70.35,57,104,70.62,70.88
"125",125,70.91,58,104,71.2,71.44
"126",126,71.53,58,104,71.77,72.04
"127",127,72.09,57,103,72.37,72.62
"128",128,72.67,56,106,72.9,73.16
"129",129,73.23,57,104,73.48,73.74
"130",130,73.81,57,107,74.04,74.32
"131",131,74.35,55,103,74.63,74.92
"132",132,74.93,57,104,75.2,75.46
"133",133,75.51,58,103,75.78,76.04
"134",134,76.09,56,105,76.33,76.56
"135",135,76.63,56,104,76.92,77.18
"136",136,77.21,54,107,77.46,77.72
"137",137,77.79,56,105,78.05,78.3
"138",138,78.37,54,105,78.62,78.88
"139",139,78.91,60,104,79.18,79.44
"140",140,79.49,52,105,79.74,79.96
"141",141,80.03,57,107,80.31,80.52
"142",142,80.59,56,105,80.87,81.12
"143",143,81.17,55,107,81.42,81.68
"144",144,81.73,56,107,81.99,82.22
"145",145,82.27,59,109,82.53,82.74
"146",146,82.85,59,109,83.07,83.32
"147",147,83.39,58,109,83.62,83.88
"148",148,83.95,59,108,84.19,84.44
"149",149,84.47,57,108,84.73,85
"150",150,85.05,55,107,85.3,85.58
"151",151,85.59,57,107,85.87,86.14
"152",152,86.19,57,104,86.44,86.72
"153",153,86.75,58,107,86.99,87.24
"154",154,87.29,58,108,87.53,87.8
"155",155,87.85,59,108,88.1,88.38
"156",156,88.39,56,105,88.68,88.92
"157",157,88.97,59,105,89.22,89.48
"158",158,89.53,54,107,89.78,90.06
"159",159,90.07,54,107,90.37,90.58
"160",160,90.65,55,108,90.88,91.16
"161",161,91.17,57,109,91.42,91.7
"162",162,91.73,52,109,92,92.28
"163",163,92.33,56,105,92.58,92.86
"164",164,92.89,49,104,93.14,93.36
"165",165,93.43,52,103,93.73,94
"166",166,94.03,54,106,94.28,94.52
"167",167,94.55,58,107,94.82,95.08
"168",168,95.13,56,111,95.36,95.6
"169",169,95.69,54,109,95.93,96.2
"170",170,96.27,53,106,96.52,96.78
"171",171,96.81,54,104,97.08,97.34
"172",172,97.39,54,103,97.66,97.92
"173",173,97.97,54,104,98.24,98.5
"174",174,98.55,52,102,98.84,99.1
"175",175,99.13,54,102,99.44,99.68
"176",176,99.71,51,102,99.99,100.24
"177",177,100.29,51,103,100.58,100.8
"178",178,100.87,51,104,101.13,101.4
"179",179,101.47,54,105,101.7,101.98
"180",180,102.01,48,105,102.28,102.54
"181",181,102.57,49,105,102.83,103.06
"182",182,103.15,49,104,103.41,103.66
"183",183,103.69,52,107,103.96,104.26
"184",184,104.29,49,105,104.54,104.8
"185",185,104.85,51,107,105.1,105.36
"186",186,105.43,55,105,105.66,105.9
"187",187,105.95,52,108,106.2,106.44
"188",188,106.47,56,109,106.74,106.94
"189",189,107.05,54,109,107.29,107.52
"190",190,107.61,54,108,107.86,108.06
"191",191,108.19,53,105,108.44,108.64
"192",192,108.73,53,104,109.01,109.25
"193",193,109.35,49,103,109.59,109.84
"194",194,109.94,53,104,110.16,110.4
"195",195,110.46,54,106,110.71,110.97
"196",196,111.06,54,107,111.29,111.55
"197",197,111.64,54,105,111.88,112.13
"198",198,112.2,56,102,112.47,112.72
"199",199,112.79,49,101,113.05,113.29
"200",200,113.37,53,103,113.62,113.86
"201",201,113.9,52,105,114.16,114.41
"202",202,114.52,48,108,114.73,115.02
"203",203,115.53,25,109,116.52,117.03
