"","Time.Date","Acc.X","Acc.Y","Acc.Z"
"14051",140500,-1.516,0.143,9.702
"14052",140510,-1.59,-0.008,9.775
"14053",140520,-1.441,-0.233,9.845
"14054",140530,-1.217,-0.384,9.841
"14055",140540,-1.067,-0.384,9.839
"14056",140550,-0.993,-0.309,9.838
"14057",140560,-1.068,-0.233,9.766
"14058",140570,-1.292,-0.158,9.695
"14059",140580,-1.516,0.068,9.701
"14060",140590,-1.665,0.218,9.779
"14061",140600,-1.665,0.218,9.779
"14062",140610,-1.591,0.143,9.703
"14063",140620,-1.516,0.068,9.701
"14064",140630,-1.591,0.068,9.702
"14065",140640,-1.591,0.143,9.703
"14066",140650,-1.516,0.068,9.701
"14067",140660,-1.441,-0.083,9.698
"14068",140670,-1.142,-0.309,9.692
"14069",140680,-0.993,-0.384,9.689
"14070",140690,-0.918,-0.384,9.688
"14071",140700,-0.993,-0.459,9.688
"14072",140710,-1.067,-0.309,9.69
"14073",140720,-1.217,-0.083,9.769
"14074",140730,-1.367,0.143,9.848
"14075",140740,-1.516,0.218,9.851
"14076",140750,-1.591,0.143,9.851
"14077",140760,-1.516,-0.008,9.849
"14078",140770,-1.292,0.068,9.772
"14079",140780,-1.143,0.068,9.77
"14080",140790,-1.217,-0.008,9.77
"14081",140800,-1.441,-0.083,9.773
"14082",140810,-1.665,-0.233,9.774
"14083",140820,-1.665,-0.233,9.774
"14084",140830,-1.515,-0.309,9.697
"14085",140840,-1.366,-0.158,9.696
"14086",140850,-1.366,-0.008,9.698
"14087",140860,-1.367,0.143,9.774
"14088",140870,-1.367,0.218,9.775
"14089",140880,-1.292,0.143,9.773
"14090",140890,-1.292,-0.083,9.696
"14091",140900,-1.366,-0.233,9.696
"14092",140910,-1.515,-0.233,9.698
"14093",140920,-1.74,-0.158,9.627
"14094",140930,-1.889,-0.083,9.556
"14095",140940,-2.038,0.068,9.485
"14096",140950,-2.039,0.143,9.635
"14097",140960,-1.74,0.143,9.63
"14098",140970,-1.292,-0.008,9.548
"14099",140980,-1.217,-0.083,9.546
"14100",140990,-1.441,-0.008,9.699
"14101",141000,-1.814,0.068,9.854
"14102",141010,-1.964,0.068,9.93
"14103",141020,-1.964,-0.083,10.003
"14104",141030,-1.889,-0.233,10.001
"14105",141040,-1.665,-0.384,9.996
"14106",141050,-1.292,-0.158,9.844
"14107",141060,-1.516,0.52,9.705
"14108",141070,-1.591,0.896,9.562
"14109",141080,-1.89,0.971,9.492
"14110",141090,-2.413,0.746,9.572
"14111",141100,-2.487,0.218,9.418
"14112",141110,-2.187,-0.233,9.112
"14113",141120,-1.963,-0.233,8.885
"14114",141130,-1.366,-0.233,8.505
"14115",141140,-0.843,-0.685,7.674
"14116",141150,-0.917,-0.986,6.481
"14117",141160,-1.44,-0.761,5.524
"14118",141170,-2.337,-0.158,5.022
"14119",141180,-3.233,0.369,4.817
