"","Time.Date","Acc.X","Acc.Y","Acc.Z"
"9161",91600,-3.891,7.054,3.149
"9162",91610,-4.56,6.826,2.778
"9163",91620,-5.227,6.22,2.33
"9164",91630,-5.299,5.613,1.727
"9165",91640,-4.778,5.385,1.197
"9166",91650,-4.107,5.233,1.04
"9167",91660,-3.439,5.613,1.637
"9168",91670,-2.999,7.206,2.993
"9169",91680,-3.154,8.799,4.054
"9170",91690,-3.605,10.164,4.442
"9171",91700,-4.577,11.15,3.707
"9172",91710,-6.286,10.771,2.97
"9173",91720,-6.666,12.592,5.533
"9174",91730,-6.446,13.426,8.909
"9175",91740,-6.667,12.971,10.256
"9176",91750,-7.705,11.909,9.433
"9177",91760,-6.877,9.557,6.938
"9178",91770,-6.436,10.923,5.744
"9179",91780,-6.439,11.606,6.199
"9180",91790,-5.841,10.999,6.639
"9181",91800,-6.138,10.771,6.265
"9182",91810,-6.284,10.24,5.364
"9183",91820,-5.688,9.861,4.682
"9184",91830,-4.868,9.557,4.448
"9185",91840,-4.196,9.026,4.139
"9186",91850,-3.6,8.799,3.308
"9187",91860,-3.003,8.192,2.325
"9188",91870,-2.627,7.357,2.091
"9189",91880,-2.85,7.13,2.541
"9190",91890,-3.369,6.751,2.993
"9191",91900,-3.665,6.371,3.217
"9192",91910,-4.111,6.144,3.294
"9193",91920,-4.26,6.144,3.146
"9194",91930,-3.889,6.447,2.92
"9195",91940,-3.368,6.447,2.691
"9196",91950,-2.995,6.295,2.312
"9197",91960,-2.771,6.144,2.084
"9198",91970,-2.474,6.22,1.933
"9199",91980,-2.103,6.447,1.931
"9200",91990,-1.731,6.523,2.153
"9201",92000,-1.657,6.523,2.527
"9202",92010,-1.731,6.371,2.976
"9203",92020,-2.102,6.295,3.503
"9204",92030,-2.549,6.447,3.733
"9205",92040,-2.773,6.523,3.735
"9206",92050,-2.996,6.599,3.738
"9207",92060,-3.294,6.675,3.591
"9208",92070,-3.74,6.523,3.594
"9209",92080,-3.665,6.447,3.593
"9210",92090,-3.667,6.826,3.67
"9211",92100,-4.04,7.206,3.901
"9212",92110,-4.189,7.13,3.976
"9213",92120,-3.893,7.433,4.051
"9214",92130,-3.598,8.116,4.278
"9215",92140,-3.45,8.571,3.98
"9216",92150,-3.377,8.723,3.531
"9217",92160,-3.45,8.495,2.855
"9218",92170,-3.598,8.268,2.256
"9219",92180,-3.895,7.964,2.031
"9220",92190,-4.191,7.661,1.657
"9221",92200,-4.412,7.13,1.206
"9222",92210,-4.559,6.599,0.904
"9223",92220,-4.483,6.144,0.825
"9224",92230,-3.886,5.764,1.342
"9225",92240,-3.44,5.916,2.538
"9226",92250,-3.219,6.371,3.663
"9227",92260,-2.626,6.978,4.412
"9228",92270,-2.405,7.737,5.014
"9229",92280,-3.525,8.495,4.579
"9230",92290,-5.386,8.799,3.398
"9231",92300,-6.363,11.226,4.847
"9232",92310,-6.887,12.061,6.655
"9233",92320,-7.41,12.592,8.012
"9234",92330,-8.453,12.971,8.473
"9235",92340,-8.821,11.909,8.019
"9236",92350,-7.994,9.633,6.273
"9237",92360,-6.801,9.026,4.76
"9238",92370,-6.285,10.468,4.991
"9239",92380,-6.287,10.999,5.893
"9240",92390,-6.808,10.999,6.497
"9241",92400,-7.404,11.15,6.204
"9242",92410,-6.957,10.999,5.749
"9243",92420,-5.766,10.847,5.438
"9244",92430,-4.649,10.619,5.053
"9245",92440,-3.903,10.088,4.444
"9246",92450,-3.082,9.557,3.609
"9247",92460,-2.261,8.875,2.848
"9248",92470,-1.737,7.964,2.388
"9249",92480,-1.956,7.054,2.309
"9250",92490,-2.549,6.295,2.458
"9251",92500,-3.216,5.689,2.684
"9252",92510,-3.736,5.537,2.538
"9253",92520,-3.737,5.764,2.165
"9254",92530,-3.069,6.144,1.637
"9255",92540,-2.103,6.371,1.031
"9256",92550,-1.878,6.144,0.728
"9257",92560,-2.473,5.916,0.806
"9258",92570,-3.142,5.764,1.186
"9259",92580,-3.291,5.84,1.487
"9260",92590,-2.771,6.068,1.559
"9261",92600,-2.326,6.295,1.857
"9262",92610,-2.4,6.295,2.382
"9263",92620,-2.698,6.447,2.91
"9264",92630,-2.996,6.447,3.362
"9265",92640,-3.367,6.295,3.814
"9266",92650,-3.813,6.22,4.267
"9267",92660,-3.89,6.675,4.645
"9268",92670,-3.371,7.357,5.02
"9269",92680,-3.15,7.737,5.395
"9270",92690,-3.224,7.813,5.322
"9271",92700,-3.002,7.964,4.721
"9272",92710,-2.482,8.192,3.819
"9273",92720,-2.185,8.344,3.218
"9274",92730,-2.483,8.42,3.146
"9275",92740,-3.079,8.647,3.153
"9276",92750,-3.228,8.647,2.855
"9277",92760,-3.227,8.571,2.479
"9278",92770,-3.673,8.495,2.408
"9279",92780,-4.416,8.116,2.711
"9280",92790,-4.935,7.661,2.562
"9281",92800,-5.155,6.902,2.035
"9282",92810,-4.631,6.068,1.425
"9283",92820,-3.737,5.613,1.115
"9284",92830,-3.067,5.537,0.884
"9285",92840,-3.142,5.764,1.41
"9286",92850,-3.515,6.144,2.016
"9287",92860,-3.591,6.447,2.468
"9288",92870,-4.04,7.13,3.226
"9289",92880,-4.936,7.813,3.837
"9290",92890,-5.977,7.737,4.295
"9291",92900,-6.129,8.647,5.352
"9292",92910,-5.619,11.226,7.463
"9293",92920,-4.58,12.137,8.809
"9294",92930,-5.181,13.426,9.497
"9295",92940,-6.966,13.426,8.988
"9296",92950,-8.45,12.212,7.793
"9297",92960,-8.068,9.557,5.749
"9298",92970,-6.948,8.571,4.234
"9299",92980,-6.43,9.33,4.085
"9300",92990,-6.209,10.013,4.313
"9301",93000,-6.657,10.316,4.393
"9302",93010,-7.179,10.619,4.25
"9303",93020,-6.807,10.619,4.097
"9304",93030,-5.914,10.695,4.09
"9305",93040,-5.095,10.468,4.381
"9306",93050,-4.275,10.24,4.598
"9307",93060,-3.678,9.785,4.515
"9308",93070,-3.229,9.026,4.656
"9309",93080,-2.632,8.495,4.947
