"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"1",1,116.74,31,110,117.09,117.3
"2",2,117.33,36,112,117.59,117.8
"3",3,117.89,37,113,118.13,118.34
"4",4,118.43,37,112,118.69,118.9
"5",5,118.99,43,108,119.27,119.5
"6",6,119.57,40,105,119.8,120.02
"7",7,120.09,42,108,120.33,120.54
"8",8,120.61,48,111,120.85,121.1
"9",9,121.17,47,115,121.37,121.64
"10",10,121.67,50,112,121.94,122.18
"11",11,122.25,53,111,122.5,122.74
"12",12,122.79,49,108,123.02,123.26
"13",13,123.33,50,108,123.57,123.76
"14",14,123.87,44,109,124.11,124.3
"15",15,124.43,47,111,124.64,124.88
"16",16,124.95,44,112,125.18,125.42
"17",17,125.49,47,112,125.75,125.94
"18",18,126.05,41,111,126.26,126.42
"19",19,126.55,43,112,126.8,126.98
"20",20,127.09,43,112,127.32,127.52
"21",21,127.63,44,113,127.85,128.06
"22",22,128.15,43,112,128.4,128.58
"23",23,128.69,48,112,128.92,129.16
"24",24,129.17,48,112,129.44,129.64
"25",25,129.75,49,111,130,130.24
"26",26,130.29,47,112,130.53,130.72
"27",27,130.81,47,107,131.11,131.3
"28",28,131.41,49,113,131.61,131.82
"29",29,131.93,45,108,132.19,132.4
"30",30,132.47,49,113,132.75,132.92
"31",31,132.99,49,108,133.25,133.48
"32",32,133.55,49,113,133.78,133.96
"33",33,134.09,50,112,134.34,134.56
"34",34,134.61,50,117,134.81,135.06
"35",35,135.09,46,118,135.31,135.48
"36",36,135.55,51,120,135.83,136
"37",37,136.08,50,118,136.31,136.49
"38",38,136.61,49,120,136.81,137.04
"39",39,137.07,46,120,137.32,137.48
"40",40,137.55,49,120,137.84,138.08
"41",41,138.13,46,118,138.33,138.5
"42",42,138.57,53,118,138.84,139.02
"43",43,139.05,55,121,139.32,139.48
"44",44,139.61,53,120,139.85,140
"45",45,140.05,49,121,140.32,140.56
"46",46,140.59,55,123,140.79,140.94
"47",47,141.09,50,125,141.27,141.42
"48",48,141.57,50,125,141.76,141.98
"49",49,142.05,50,123,142.23,142.46
"50",50,142.51,51,126,142.69,142.84
"51",51,142.99,48,128,143.17,143.4
"52",52,143.45,50,125,143.66,143.82
"53",53,143.93,51,125,144.15,144.3
"54",54,144.41,46,126,144.59,144.72
"55",55,144.87,51,130,145.05,145.2
"56",56,145.35,54,130,145.52,145.66
"57",57,145.81,51,126,146,146.24
"58",58,146.29,52,126,146.47,146.64
"59",59,146.75,52,126,146.93,147.1
"60",60,147.21,51,130,147.39,147.54
"61",61,147.65,51,130,147.85,148
"62",62,148.15,52,130,148.33,148.48
"63",63,148.61,52,128,148.79,148.94
"64",64,149.09,49,128,149.25,149.36
"65",65,149.51,44,128,149.72,149.92
"66",66,150.01,48,128,150.2,150.34
"67",67,150.47,48,125,150.69,150.84
"68",68,150.91,47,127,151.14,151.3
"69",69,151.41,45,125,151.62,151.8
"70",70,151.85,47,125,152.12,152.3
"71",71,152.41,45,123,152.6,152.82
"72",72,152.87,47,125,153.06,153.22
"73",73,153.35,42,126,153.54,153.7
"74",74,153.77,44,125,154.03,154.18
"75",75,154.23,49,125,154.51,154.74
"76",76,154.77,49,126,154.97,155.18
"77",77,155.23,48,126,155.47,155.62
"78",78,155.71,49,128,155.91,156.08
"79",79,156.19,51,125,156.4,156.56
"80",80,156.65,51,126,156.86,157.02
"81",81,157.15,51,125,157.34,157.5
"82",82,157.63,50,126,157.84,158
"83",83,158.11,50,125,158.32,158.46
"84",84,158.61,46,126,158.79,158.92
"85",85,159.07,48,126,159.25,159.42
"86",86,159.51,48,126,159.72,159.88
"87",87,160.01,45,126,160.18,160.34
"88",88,160.49,42,126,160.68,160.84
"89",89,160.97,41,125,161.16,161.34
"90",90,161.47,45,123,161.66,161.8
"91",91,161.95,42,123,162.12,162.26
"92",92,162.43,46,125,162.6,162.74
"93",93,162.91,48,126,163.07,163.2
"94",94,163.35,48,128,163.53,163.66
"95",95,163.83,48,128,164.03,164.16
"96",96,164.31,45,126,164.48,164.64
"97",97,164.79,47,125,164.97,165.12
"98",98,165.27,47,125,165.45,165.6
"99",99,165.75,43,125,165.93,166.06
"100",100,166.23,45,126,166.39,166.54
"101",101,166.71,44,126,166.87,167.04
"102",102,167.21,46,126,167.35,167.5
"103",103,167.65,46,125,167.84,168
"104",104,168.15,47,123,168.33,168.48
"105",105,168.63,48,125,168.79,168.94
"106",106,169.09,49,125,169.26,169.4
"107",107,169.57,46,126,169.75,169.88
"108",108,170.03,50,126,170.23,170.34
"109",109,170.51,51,128,170.67,170.82
"110",110,170.99,52,130,171.13,171.28
"111",111,171.45,51,128,171.61,171.78
"112",112,171.93,52,126,172.11,172.26
"113",113,172.39,48,125,172.57,172.7
"114",114,172.85,48,126,173.02,173.18
"115",115,173.31,49,130,173.47,173.62
"116",116,173.77,48,130,173.94,174.1
"117",117,174.23,54,134,174.38,174.54
"118",118,174.71,49,129,174.86,175
"119",119,175.15,46,133,175.33,175.46
"120",120,175.59,46,130,175.77,175.9
"121",121,176.05,48,132,176.22,176.36
"122",122,176.51,47,132,176.68,176.82
"123",123,176.97,46,130,177.13,177.28
"124",124,177.43,46,130,177.6,177.74
