"","Time.Date","Acc.X","Acc.Y","Acc.Z"
"7921",79200,5.165,-6.525,5.378
"7922",79210,4.795,-7.056,4.928
"7923",79220,3.978,-7.359,5.233
"7924",79230,3.232,-6.904,5.916
"7925",79240,2.854,-5.539,6.004
"7926",79250,2.55,-3.794,4.969
"7927",79260,2.245,-1.973,3.111
"7928",79270,1.943,-0.835,1.023
"7929",79280,2.238,-0.153,-0.248
"7930",79290,2.835,-0.608,0.193
"7931",79300,2.914,-1.821,2.207
"7932",79310,3.146,-3.87,4.664
"7933",79320,5.166,-6.904,7.099
"7934",79330,7.489,-11,8.026
"7935",79340,10.48,-14.945,6.325
"7936",79350,14.956,-17.676,6.644
"7937",79360,13.979,-15.4,10.19
"7938",79370,12.701,-11.987,12.771
"7939",79380,8.666,-7.587,10.062
"7940",79390,5.383,-5.311,6.734
"7941",79400,3.745,-4.932,7.724
"7942",79410,2.257,-5.083,9.534
"7943",79420,2.781,-5.766,9.824
"7944",79430,5.244,-7.738,10.39
"7945",79440,6.962,-9.332,10.065
"7946",79450,8.154,-9.711,8.853
"7947",79460,9.045,-9.332,7.5
"7948",79470,9.411,-7.663,6.084
"7949",79480,8.444,-7.966,4.442
"7950",79490,8.153,-9.635,3.983
"7951",79500,8.007,-10.394,4.579
"7952",79510,7.709,-10.318,5.706
"7953",79520,6.365,-8.952,6.326
"7954",79530,4.128,-7.738,6.578
"7955",79540,2.71,-6.601,6.447
"7956",79550,1.736,-4.856,5.718
"7957",79560,1.209,-3.263,4.16
"7958",79570,1.354,-2.352,2.591
"7959",79580,2.098,-2.352,2.735
"7960",79590,3.365,-2.808,4.295
"7961",79600,4.557,-3.263,6.005
"7962",79610,4.78,-3.111,6.379
"7963",79620,3.735,-2.352,5.269
"7964",79630,2.694,-2.504,4.527
"7965",79640,3.144,-3.49,4.966
"7966",79650,3.891,-4.325,4.58
"7967",79660,4.342,-5.311,3.895
"7968",79670,5.463,-6.601,4.326
"7969",79680,6.505,-6.828,4.691
"7970",79690,7.024,-6.297,5.065
"7971",79700,6.649,-5.387,5.299
"7972",79710,6.125,-4.78,5.232
"7973",79720,5.307,-4.704,5.09
"7974",79730,4.192,-5.008,4.573
"7975",79740,3.449,-5.463,3.901
"7976",79750,3.079,-5.918,3.002
"7977",79760,2.931,-5.994,1.954
"7978",79770,2.705,-5.463,1.51
"7979",79780,2.927,-5.008,1.586
"7980",79790,3.595,-4.704,2.482
"7981",79800,4.337,-4.097,3.229
"7982",79810,5.528,-4.249,4.492
"7983",79820,7.167,-4.704,6.948
"7984",79830,6.872,-5.387,8.444
"7985",79840,4.938,-5.539,7.41
"7986",79850,3.898,-5.918,6.592
"7987",79860,2.926,-4.856,5.334
"7988",79870,0.607,-1.67,3.277
"7989",79880,-0.972,2.578,1.82
"7990",79890,-0.385,4.702,1.755
"7991",79900,1.777,3.716,2.704
"7992",79910,4.841,0.303,4.304
"7993",79920,8.357,-4.704,6.713
"7994",79930,8.827,-10.697,5.619
"7995",79940,9.959,-14.869,5.506
"7996",79950,12.196,-16.007,6.454
"7997",79960,12.493,-15.931,8.925
"7998",79970,12.265,-14.717,12.756
"7999",79980,10.918,-12.745,14.579
"8000",79990,7.19,-10.621,11.778
"8001",80000,4.801,-8.725,6.64
"8002",80010,5.165,-6.676,6.127
"8003",80020,5.68,-5.159,7.931
"8004",80030,7.689,-4.932,10.688
"8005",80040,8.212,-5.614,11.354
"8006",80050,8.216,-6.601,9.474
"8007",80060,8.069,-7.132,7.223
"8008",80070,7.921,-7.207,5.65
"8009",80080,7.698,-7.283,4.902
"8010",80090,7.625,-7.814,4.824
"8011",80100,7.63,-9.028,4.891
"8012",80110,7.785,-10.697,5.253
"8013",80120,7.789,-11.607,6.296
"8014",80130,7.638,-11,7.425
"8015",80140,6.888,-9.635,7.066
"8016",80150,5.392,-7.435,6.869
"8017",80160,4.714,-5.311,6.365
"8018",80170,4.036,-3.187,5.86
"8019",80180,3.74,-3.642,4.885
"8020",80190,2.915,-2.049,4.379
"8021",80200,2.54,-1.139,3.789
"8022",80210,1.943,-0.684,2.223
"8023",80220,1.647,-1.063,2.598
"8024",80230,1.948,-2.049,3.488
"8025",80240,2.399,-3.111,4.001
"8026",80250,3.071,-3.718,4.291
"8027",80260,3.37,-4.173,4.51
"8028",80270,3.819,-4.78,5.102
"8029",80280,3.971,-5.69,5.469
"8030",80290,4.122,-6.221,5.239
"8031",80300,4.569,-6.373,4.86
"8032",80310,5.014,-6.07,4.484
"8033",80320,5.385,-5.69,4.633
"8034",80330,5.161,-5.614,4.785
"8035",80340,4.865,-5.994,4.86
"8036",80350,4.718,-6.525,5.157
"8037",80360,4.72,-6.904,5.754
"8038",80370,4.795,-6.98,6.203
"8039",80380,4.794,-6.752,6.429
"8040",80390,4.793,-6.601,6.205
"8041",80400,4.792,-6.373,5.757
"8042",80410,4.791,-6.145,5.309
"8043",80420,4.791,-6.07,5.085
"8044",80430,4.94,-6.145,5.083
"8045",80440,5.089,-6.221,5.156
"8046",80450,5.015,-6.221,5.232
"8047",80460,4.568,-5.994,5.162
"8048",80470,4.567,-5.766,4.564
"8049",80480,4.639,-5.235,4.043
"8050",80490,4.71,-4.401,3.823
"8051",80500,4.112,-3.642,3.683
"8052",80510,3.14,-2.504,3.999
"8053",80520,1.496,-0.684,3.8
"8054",80530,0.226,0.682,3.446
"8055",80540,0.373,1.137,3.223
"8056",80550,1.417,0.53,2.311
"8057",80560,2.765,-1.594,1.461
"8058",80570,3.969,-5.235,1.95
"8059",80580,6.885,-8.876,4.299
"8060",80590,7.791,-12.214,3.594
"8061",80600,8.986,-13.428,3.501
"8062",80610,10.692,-11.987,4.995
"8063",80620,11.429,-10.166,7.774
"8064",80630,11.951,-10.318,11.215
"8065",80640,14.04,-11.683,13.961
"8066",80650,9.723,-11.531,11.226
"8067",80660,4.289,-10.849,6.18
"8068",80670,4.501,-8.042,5.973
"8069",80680,4.934,-4.477,7.342
"8070",80690,4.858,-4.249,8.169
"8071",80700,5.534,-5.842,7.928
"8072",80710,6.88,-7.511,7.081
"8073",80720,7.479,-8.497,6.769
"8074",80730,8.301,-9.256,7.357
"8075",80740,9.494,-9.863,7.792
"8076",80750,10.091,-10.469,7.034
"8077",80760,10.167,-10.925,6.73
"8078",80770,10.167,-10.925,6.805
"8079",80780,9.572,-10.925,6.51
"8080",80790,8.829,-11.304,6.514
"8081",80800,8.531,-11.076,6.968
"8082",80810,7.708,-9.938,6.608
"8083",80820,6.511,-8.194,6.03
"8084",80830,4.493,-5.918,4.489
"8085",80840,2.103,-3.566,2.877
"8086",80850,0.385,-1.821,1.329
"8087",80860,-0.663,-0.228,0.15
"8088",80870,-0.517,0.303,0.527
"8089",80880,0.824,-0.077,1.787
"8090",80890,2.169,-1.366,3.49
"8091",80900,2.469,-2.125,4.082
"8092",80910,2.843,-2.58,4.151
"8093",80920,3.143,-3.187,3.919
"8094",80930,3.146,-3.946,3.165
"8095",80940,3.076,-5.159,2.558
"8096",80950,2.932,-6.373,2.626
"8097",80960,3.382,-7.207,3.74
"8098",80970,4.2,-7.283,5.456
"8099",80980,4.645,-6.828,6.729
"8100",80990,4.793,-6.601,7.179
"8101",81000,5.165,-6.601,6.876
"8102",81010,5.463,-6.601,6.125
"8103",81020,5.611,-6.525,5.3
"8104",81030,5.388,-6.601,4.702
"8105",81040,5.165,-6.525,4.479
"8106",81050,4.942,-6.525,4.856
"8107",81060,5.015,-6.297,5.531
"8108",81070,5.014,-5.994,5.533
"8109",81080,4.787,-5.008,4.792
"8110",81090,3.737,-2.883,3.392
"8111",81100,1.793,-0.38,0.953
"8112",81110,-0.673,2.275,-0.807
"8113",81120,-2.837,3.868,-1.153
"8114",81130,-1.269,2.351,1.072
"8115",81140,2.762,-0.759,4.014
"8116",81150,6.498,-4.78,8.451
"8117",81160,9.197,-10.166,8.467
"8118",81170,9.141,-14.869,5.438
"8119",81180,11.75,-16.159,5.183
"8120",81190,13.826,-14.111,7.052
"8121",81200,16.13,-13.428,10.56
"8122",81210,14.342,-12.897,12.526
"8123",81220,7.488,-10.849,8.551
"8124",81230,5.027,-9.332,5.66
"8125",81240,4.418,-5.918,6.962
"8126",81250,4.633,-3.566,8.55
"8127",81260,5.602,-4.021,8.914
"8128",81270,6.055,-5.69,7.999
"8129",81280,6.954,-7.283,6.707
"8130",81290,7.698,-7.435,5.95
"8131",81300,7.696,-6.904,5.055
"8132",81310,7.249,-6.752,4.235
"8133",81320,6.878,-7.056,4.087
"8134",81330,6.732,-7.587,4.234
"8135",81340,6.734,-8.118,4.68
"8136",81350,6.586,-8.497,5.428
"8137",81360,6.29,-8.8,6.477
"8138",81370,6.663,-9.18,7.596
"8139",81380,6.888,-9.635,7.965
"8140",81390,6.891,-10.242,7.587
"8141",81400,7.562,-10.697,7.278
"8142",81410,8.231,-10.469,6.824
"8143",81420,8.452,-9.863,5.553
"8144",81430,8.301,-9.332,4.584
"8145",81440,7.329,-8.194,3.85
"8146",81450,5.834,-6.449,3.5
"8147",81460,3.818,-4.552,3.08
"8148",81470,2.101,-3.035,2.58
"8149",81480,0.535,-2.277,2.074
"8150",81490,-0.135,-2.049,2.456
"8151",81500,0.385,-1.973,3.201
"8152",81510,1.8,-2.352,3.936
"8153",81520,2.992,-2.732,3.849
"8154",81530,3.516,-3.49,3.764
"8155",81540,4.412,-4.173,3.752
"8156",81550,4.712,-4.78,3.821
"8157",81560,4.49,-5.083,3.67
"8158",81570,4.119,-5.387,3.597
"8159",81580,4.12,-5.69,4.119
"8160",81590,4.269,-5.766,4.867
"8161",81600,4.268,-5.463,5.543
"8162",81610,4.267,-5.311,5.769
"8163",81620,4.491,-5.387,5.691
"8164",81630,4.64,-5.539,5.689
"8165",81640,4.865,-5.918,5.685
"8166",81650,5.238,-6.221,5.605
"8167",81660,5.536,-6.373,5.451
"8168",81670,5.909,-6.601,4.997
"8169",81680,6.058,-6.601,4.621
"8170",81690,5.165,-6.525,4.554
"8171",81700,3.375,-5.539,4.276
"8172",81710,1.355,-2.732,3.563
"8173",81720,-1.04,0.909,2.334
"8174",81730,-1.868,3.489,1.459
"8175",81740,-0.609,5.082,1.085
"8176",81750,1.847,4.854,2.112
"8177",81760,4.909,1.896,4.014
"8178",81770,7.013,-3.339,6.584
"8179",81780,7.866,-12.214,5.317
"8180",81790,8.936,-19.572,5.333
"8181",81800,11.392,-19.876,6.809
"8182",81810,12.792,-16.083,9.071
"8183",81820,15.089,-13.807,12.064
"8184",81830,13.221,-11.759,11.345
"8185",81840,8.302,-9.711,7.653
"8186",81850,5.097,-8.194,5.817
"8187",81860,3.527,-6.373,7.042
"8188",81870,3.745,-4.856,8.174
"8189",81880,5.529,-4.477,8.087
"8190",81890,7.914,-5.539,8.359
"8191",81900,8.812,-6.904,7.893
"8192",81910,8.742,-7.966,6.538
"8193",81920,8.149,-8.573,5.489
"8194",81930,7.779,-9.104,4.814
"8195",81940,7.855,-9.407,4.587
"8196",81950,8.003,-9.256,5.186
"8197",81960,8.077,-9.028,6.386
"8198",81970,7.557,-9.332,6.913
"8199",81980,7.483,-9.483,7.212
"8200",81990,7.333,-9.256,7.14
"8201",82000,6.14,-8.649,6.18
"8202",82010,5.842,-8.345,5.061
"8203",82020,5.617,-8.118,4.015
"8204",82030,5.093,-7.207,3.276
"8205",82040,4.047,-5.994,2.844
"8206",82050,3,-4.78,2.261
"8207",82060,1.879,-3.566,1.53
"8208",82070,1.058,-2.732,2.291
"8209",82080,0.608,-1.973,3.125
"8210",82090,0.757,-1.821,3.649
"8211",82100,1.205,-2.428,3.791
"8212",82110,2.027,-3.339,3.703
"8213",82120,3.222,-4.477,3.76
"8214",82130,3.895,-5.235,4.124
"8215",82140,4.119,-5.463,4.495
"8216",82150,4.194,-5.539,4.719
"8217",82160,4.566,-5.69,5.014
"8218",82170,5.31,-5.69,5.233
"8219",82180,5.756,-5.539,5.155
"8220",82190,5.682,-5.539,4.931
"8221",82200,5.384,-5.539,4.784
"8222",82210,5.013,-5.614,4.637
"8223",82220,4.938,-5.614,4.337
"8224",82230,5.237,-5.842,4.034
"8225",82240,5.311,-5.918,3.958
"8226",82250,4.492,-5.69,4.116
"8227",82260,2.927,-5.083,4.433
"8228",82270,1.507,-3.566,4.305
"8229",82280,0.084,-0.987,3.286
"8230",82290,-1.119,2.275,1.819
"8231",82300,-0.828,3.868,0.254
"8232",82310,1.184,3.109,0.307
"8233",82320,2.982,-0.153,1.918
"8234",82330,6.056,-6.145,5.973
"8235",82340,9.208,-13.049,6.124
"8236",82350,11.976,-16.766,6.525
"8237",82360,14.057,-16.235,7.785
"8238",82370,15.018,-14.642,9.137
"8239",82380,15.388,-13.959,11.386
"8240",82390,10.62,-12.669,11.135
"8241",82400,4.956,-10.318,7.677
"8242",82410,3.46,-8.269,5.98
"8243",82420,3.675,-6.145,6.817
"8244",82430,5.16,-5.159,7.186
"8245",82440,7.394,-5.69,7.538
"8246",82450,8.143,-7.056,7.748
"8247",82460,8.521,-8.497,7.66
"8248",82470,8.449,-9.104,6.907
"8249",82480,8.077,-9.18,5.86
"8250",82490,7.853,-9.028,4.889
"8251",82500,7.927,-8.876,4.365
"8252",82510,7.554,-8.649,4.595
"8253",82520,6.661,-8.649,5.201
"8254",82530,6.291,-9.18,5.725
"8255",82540,6.739,-9.407,6.694
"8256",82550,7.259,-9.18,7.591
"8257",82560,6.361,-7.966,7.232
"8258",82570,5.463,-6.752,6.873
"8259",82580,5.316,-7.132,6.047
"8260",82590,4.345,-6.07,4.339
"8261",82600,3.745,-5.008,2.928
"8262",82610,2.848,-3.87,1.894
"8263",82620,2.399,-3.263,1.228
"8264",82630,2.099,-2.732,2.133
"8265",82640,1.872,-1.746,3.191
"8266",82650,1.87,-1.139,3.719
"8267",82660,1.945,-1.215,4.168
"8268",82670,2.022,-1.821,4.912
"8269",82680,2.77,-2.959,5.348
"8270",82690,3.594,-4.325,5.556
"8271",82700,4.044,-5.387,5.396
"8272",82710,4.42,-6.297,5.011
"8273",82720,4.795,-6.98,4.629
"8274",82730,5.391,-7.283,4.847
"8275",82740,5.762,-7.132,5.219
"8276",82750,5.538,-6.752,5.524
"8277",82760,5.09,-6.449,5.604
"8278",82770,4.568,-6.145,5.536
"8279",82780,4.195,-5.766,5.242
"8280",82790,4.119,-5.463,4.87
"8281",82800,4.342,-5.311,4.644
"8282",82810,4.862,-5.159,4.491
"8283",82820,5.457,-5.159,4.411
"8284",82830,5.457,-5.083,4.412
"8285",82840,4.488,-4.78,4.572
"8286",82850,2.997,-3.946,4.515
"8287",82860,1.352,-1.821,3.944
"8288",82870,-0.296,0.909,2.927
"8289",82880,-0.676,2.958,1.67
"8290",82890,0.142,3.261,0.542
"8291",82900,2.903,1.213,1.029
"8292",82910,5.671,-2.58,2.778
"8293",82920,7.4,-7.132,5.955
"8294",82930,8.315,-12.973,5.008
"8295",82940,10.115,-16.614,5.868
"8296",82950,11.306,-16.842,7.879
"8297",82960,12.419,-16.007,10.049
"8298",82970,13.979,-15.324,12.738
"8299",82980,10.326,-13.428,11.208
"8300",82990,6.222,-10.394,6.317
"8301",83000,5.912,-7.359,4.992
"8302",83010,5.901,-4.401,6.586
"8303",83020,6.343,-3.415,8.537
"8304",83030,7.392,-5.159,10.09
"8305",83040,7.848,-7.738,10.068
"8306",83050,8.228,-9.787,8.478
"8307",83060,8.23,-10.166,6.677
"8308",83070,8.228,-9.787,5.33
"8309",83080,8.226,-9.18,4.211
"8310",83090,7.927,-8.8,3.691
"8311",83100,7.109,-8.952,3.247
"8312",83110,6.514,-9.104,3.626
"8313",83120,7.108,-8.8,4.972
"8314",83130,6.882,-7.89,6.329
"8315",83140,5.689,-7.283,7.167
"8316",83150,5.093,-7.207,7.547
"8317",83160,4.646,-7.056,6.728
"8318",83170,3.975,-6.601,5.613
"8319",83180,3.823,-5.842,4.495
"8320",83190,3.968,-5.008,3.151
"8321",83200,3.222,-4.401,1.513
"8322",83210,2.327,-3.87,1.224
"8323",83220,2.026,-3.035,1.232
"8324",83230,1.801,-2.58,1.537
"8325",83240,1.876,-2.732,2.509
"8326",83250,2.102,-3.339,4.002
"8327",83260,2.923,-3.946,4.89
"8328",83270,3.818,-4.477,5.628
"8329",83280,4.338,-4.477,5.999
"8330",83290,4.413,-4.401,5.624
"8331",83300,4.414,-4.856,4.797
"8332",83310,4.715,-5.69,4.189
"8333",83320,4.792,-6.373,4.109
"8334",83330,4.793,-6.601,4.257
"8335",83340,4.942,-6.601,4.481
"8336",83350,5.09,-6.525,4.63
"8337",83360,4.941,-6.373,4.932
"8338",83370,4.643,-6.145,5.161
"8339",83380,4.345,-6.221,5.163
"8340",83390,4.123,-6.601,4.937
"8341",83400,3.975,-6.752,4.563
"8342",83410,4.196,-6.221,4.414
"8343",83420,4.339,-4.704,3.974
"8344",83430,3.141,-2.732,3.098
"8345",83440,0.527,-0.304,2.312
"8346",83450,-0.445,0.909,1.355
"8347",83460,-0.147,0.834,0.378
"8348",83470,1.346,-0.304,0.882
"8349",83480,3.284,-1.063,1.535
"8350",83490,5.225,-2.808,4.504
"8351",83500,7.919,-6.752,6.028
"8352",83510,8.538,-12.821,6.731
"8353",83520,11.153,-15.704,8.488
"8354",83530,13.681,-15.173,9.894
"8355",83540,17.848,-15.249,11.957
"8356",83550,15.611,-14.111,11.309
"8357",83560,8.086,-11.456,5.47
"8358",83570,6.142,-9.104,3.329
"8359",83580,4.421,-6.676,5.908
"8360",83590,3.156,-6.676,8.092
"8361",83600,4.426,-7.89,8.897
"8362",83610,5.916,-8.421,8.581
"8363",83620,7.479,-8.345,7.669
"8364",83630,8.295,-7.89,6.167
"8365",83640,8.741,-7.587,5.041
"8366",83650,8.964,-7.587,4.14
"8367",83660,8.667,-7.814,3.617
"8368",83670,8.073,-8.042,4.295
"8369",83680,7.18,-8.118,5.8
"8370",83690,6.363,-8.573,6.703
"8371",83700,6.291,-9.18,7.074
"8372",83710,6.739,-9.559,7.293
"8373",83720,7.111,-9.407,7.44
"8374",83730,6.735,-8.497,7.075
"8375",83740,6.062,-7.738,6.187
"8376",83750,5.538,-6.828,4.399
"8377",83760,4.791,-6.145,3.061
"8378",83770,4.118,-5.159,3.223
"8379",83780,3.594,-4.401,3.608
"8380",83790,3.07,-3.642,3.542
"8381",83800,1.876,-2.732,4.083
"8382",83810,1.278,-2.049,4.467
"8383",83820,1.205,-2.277,3.717
"8384",83830,1.654,-3.111,3.108
"8385",83840,2.327,-3.87,3.397
"8386",83850,3.371,-4.552,3.908
"8387",83860,4.266,-5.008,4.497
"8388",83870,5.012,-5.387,4.713
"8389",83880,5.236,-5.766,4.783
"8390",83890,5.164,-6.297,5.005
"8391",83900,5.017,-6.752,5.378
"8392",83910,4.72,-6.828,5.605
"8393",83920,4.421,-6.601,5.534
"8394",83930,3.973,-6.221,5.241
"8395",83940,3.898,-5.918,4.794
"8396",83950,4.343,-5.539,4.268
"8397",83960,4.862,-5.159,3.967
"8398",83970,4.787,-4.932,3.894
"8399",83980,4.191,-4.856,4.199
"8400",83990,3.671,-5.159,4.801
"8401",84000,3.3,-5.387,5.552
"8402",84010,3.077,-5.463,6.077
"8403",84020,3.077,-5.387,5.778
"8404",84030,3.671,-5.159,4.801
"8405",84040,3.665,-3.566,3.163
"8406",84050,1.721,-1.139,1.473
"8407",84060,-0.296,1.061,0.53
"8408",84070,-1.641,2.503,0.177
"8409",84080,0.519,1.971,1.878
"8410",84090,4.544,-0.001,3.63
"8411",84100,7.162,-3.339,5.608
"8412",84110,7.928,-9.18,4.738
"8413",84120,7.504,-14.869,3.429
"8414",84130,9.745,-17.145,3.919
"8415",84140,14.283,-16.917,7.329
"8416",84150,18.746,-16.614,12.614
"8417",84160,16.06,-14.642,13.474
"8418",84170,6.9,-12.593,6.446
"8419",84180,5.626,-10.318,3.4
"8420",84190,4.42,-6.297,6.735
"8421",84200,4.118,-5.311,10.641
"8422",84210,4.792,-6.297,10.853
"8423",84220,6.88,-7.511,9.853
"8424",84230,9.116,-8.421,9.004
"8425",84240,10.084,-8.573,7.796
"8426",84250,9.712,-8.573,6.226
"8427",84260,9.266,-8.649,5.18
"8428",84270,8.968,-8.725,4.882
"8429",84280,8.076,-8.952,4.663
"8430",84290,6.964,-10.014,4.815
"8431",84300,6.893,-10.773,5.26
"8432",84310,6.668,-10.469,5.114
"8433",84320,6.068,-9.256,4.753
"8434",84330,5.542,-7.966,4.766
"8435",84340,4.495,-6.373,4.786
"8436",84350,3.669,-4.628,4.954
"8437",84360,3.068,-3.035,4.67
"8438",84370,2.469,-2.049,3.558
"8439",84380,1.873,-1.973,2.889
