"","Time.Date","Acc.X","Acc.Y","Acc.Z"
"12951",129500,-3.736,5.385,3.211
"12952",129510,-3.811,5.613,3.138
"12953",129520,-4.186,6.295,3.371
"12954",129530,-5.081,6.978,3.608
"12955",129540,-5.455,7.433,3.914
"12956",129550,-5.16,8.04,4.44
"12957",129560,-4.417,8.42,5.336
"12958",129570,-3.452,9.102,6.157
"12959",129580,-3.455,9.709,6.61
"12960",129590,-5.168,10.164,6.028
"12961",129600,-7.476,10.619,5.226
"12962",129610,-9.264,11.075,5.319
"12963",129620,-10.082,10.847,6.074
"12964",129630,-10.3,9.557,6.442
"12965",129640,-8.882,8.42,5.823
"12966",129650,-5.757,8.495,5.123
"12967",129660,-3.156,9.33,5.781
"12968",129670,-3.157,9.785,7.133
"12969",129680,-4.795,9.861,7.597
"12970",129690,-5.688,10.013,7.156
"12971",129700,-6.583,10.392,6.866
"12972",129710,-8.443,10.544,6.882
"12973",129720,-9.41,10.392,6.515
"12974",129730,-8.665,10.013,4.708
"12975",129740,-7.022,8.647,2.512
"12976",129750,-6.271,6.826,1.444
"12977",129760,-4.853,5.537,0.824
"12978",129770,-2.693,5.006,0.128
"12979",129780,-1.65,4.854,-0.257
"12980",129790,-1.874,4.854,0.345
"12981",129800,-2.171,4.93,1.547
"12982",129810,-2.097,5.006,2.82
"12983",129820,-1.652,5.233,3.418
"12984",129830,-0.834,5.461,4.012
"12985",129840,-0.61,5.233,4.982
"12986",129850,-0.981,4.854,5.582
"12987",129860,-0.757,4.854,5.805
"12988",129870,-0.088,4.854,6.024
"12989",129880,-0.681,4.475,6.327
"12990",129890,-2.094,4.247,6.637
"12991",129900,-2.764,4.323,6.643
"12992",129910,-3.211,4.323,6.422
"12993",129920,-3.878,3.64,5.898
"12994",129930,-4.618,2.73,5.374
"12995",129940,-5.436,2.503,5.154
"12996",129950,-5.958,2.654,4.935
"12997",129960,-5.883,2.73,4.41
"12998",129970,-5.81,3.109,2.913
"12999",129980,-5.294,4.323,1.419
"13000",129990,-3.812,5.764,0.892
"13001",130000,-2.48,7.737,1.044
"13002",130010,-3.232,9.785,2.188
"13003",130020,-4.801,11.53,4.086
"13004",130030,-6.516,12.516,5.981
"13005",130040,-8.008,13.426,7.273
"13006",130050,-7.418,14.868,7.353
"13007",130060,-5.488,15.854,6.669
"13008",130070,-5.412,15.626,5.768
"13009",130080,-7.636,13.502,4.798
"13010",130090,-7.557,12.137,4.788
"13011",130100,-4.58,12.137,6.037
"13012",130110,-4.876,11.53,7.534
"13013",130120,-7.775,10.847,8.078
"13014",130130,-8.74,10.316,7.258
"13015",130140,-8.441,9.937,6.654
"13016",130150,-7.917,9.102,6.269
"13017",130160,-7.019,7.813,5.278
"13018",130170,-5.971,6.144,4.509
"13019",130180,-4.701,4.93,4.34
"13020",130190,-3.435,4.627,4.402
"13021",130200,-2.916,4.93,4.325
"13022",130210,-2.473,5.84,3.653
"13023",130220,-1.284,6.447,2.598
"13024",130230,-0.465,6.295,1.841
"13025",130240,-0.612,5.764,1.539
"13026",130250,-1.056,5.082,1.613
"13027",130260,-1.203,4.702,1.986
"13028",130270,-1.576,5.006,2.591
"13029",130280,-2.024,5.385,3.122
"13030",130290,-2.099,5.461,3.573
"13031",130300,-2.174,5.613,4.099
"13032",130310,-2.249,5.764,4.4
"13033",130320,-2.323,5.613,4.625
"13034",130330,-2.917,5.385,5.302
"13035",130340,-4.034,5.537,5.987
"13036",130350,-4.927,5.613,6.445
"13037",130360,-5.076,5.613,6.671
"13038",130370,-4.63,5.613,6.742
"13039",130380,-4.481,5.613,6.291
"13040",130390,-4.48,5.537,5.167
"13041",130400,-4.257,5.461,3.89
"13042",130410,-4.033,5.233,3.288
"13043",130420,-3.81,5.233,3.061
"13044",130430,-3.586,5.233,2.535
"13045",130440,-3.288,4.93,2.23
"13046",130450,-3.212,4.702,2.378
"13047",130460,-2.916,4.93,2.976
"13048",130470,-2.545,5.309,3.575
"13049",130480,-2.549,6.295,3.282
"13050",130490,-2.779,8.192,2.848
"13051",130500,-3.383,10.468,3.168
"13052",130510,-5.396,11.53,5.14
"13053",130520,-9.119,11.985,7.048
"13054",130530,-10.909,13.199,7.671
"13055",130540,-9.35,14.033,7.438
"13056",130550,-8.16,14.261,6.681
"13057",130560,-8.974,13.047,5.181
"13058",130570,-8.447,11.53,3.592
"13059",130580,-5.099,11.681,3.865
"13060",130590,-3.837,12.364,6.257
"13061",130600,-6.812,12.061,7.853
"13062",130610,-8.148,11.226,6.81
"13063",130620,-8.144,10.164,5.229
"13064",130630,-8.513,9.33,4.777
"13065",130640,-8.434,8.192,4.918
"13066",130650,-7.539,7.585,4.457
"13067",130660,-5.081,6.826,3.457
"13068",130670,-2.994,5.992,2.46
"13069",130680,-2.993,5.689,2.458
"13070",130690,-2.696,5.764,2.756
"13071",130700,-0.836,5.992,2.517
"13072",130710,0.503,6.068,2.431
"13073",130720,0.801,5.916,2.652
"13074",130730,-0.386,5.006,2.956
"13075",130740,-2.317,4.02,3.415
"13076",130750,-3.952,3.64,4.025
"13077",130760,-4.324,3.565,4.478
"13078",130770,-3.581,3.716,4.547
"13079",130780,-2.913,4.171,4.32
"13080",130790,-2.618,5.006,4.098
"13081",130800,-2.769,5.537,4.103
"13082",130810,-3.587,5.461,4.709
"13083",130820,-4.627,4.854,5.838
"13084",130830,-5.22,4.323,6.438
"13085",130840,-5.145,4.171,6.212
"13086",130850,-4.774,4.399,5.836
"13087",130860,-4.403,4.627,5.609
"13088",130870,-3.956,4.551,5.081
"13089",130880,-3.509,4.475,3.803
"13090",130890,-2.764,4.171,2.67
"13091",130900,-2.316,3.868,2.739
"13092",130910,-2.168,4.02,3.489
"13093",130920,-1.648,4.323,4.535
"13094",130930,-1.055,4.854,4.384
"13095",130940,-2.179,6.978,2.46
"13096",130950,-4.95,11.53,1.015
"13097",130960,-8.161,14.412,1.811
"13098",130970,-11.364,15.247,3.642
"13099",130980,-13.223,14.943,5.304
"13100",130990,-12.18,14.792,6.418
"13101",131000,-9.719,13.274,6.837
"13102",131010,-7.924,10.923,6.581
"13103",131020,-4.574,10.392,7.074
"13104",131030,-2.493,11.075,8.185
"13105",131040,-5.098,11.226,8.957
"13106",131050,-8.148,11.226,8.458
"13107",131060,-9.116,11.226,7.342
"13108",131070,-9.488,11.302,6.597
"13109",131080,-10.079,10.24,5.995
"13110",131090,-10.223,8.799,4.937
"13111",131100,-7.615,7.888,3.186
"13112",131110,-3.817,7.13,1.95
"13113",131120,-2.178,6.751,1.709
"13114",131130,-1.879,6.295,1.928
"13115",131140,-1.877,5.84,2.15
"13116",131150,-1.58,5.916,2.148
"13117",131160,-0.985,5.992,1.844
"13118",131170,-1.206,5.309,2.14
"13119",131180,-2.541,4.399,3.045
"13120",131190,-3.134,3.792,3.945
"13121",131200,-2.24,3.489,4.085
"13122",131210,-0.975,3.489,3.924
"13123",131220,-1.051,3.868,4.078
"13124",131230,-2.169,4.323,4.315
"13125",131240,-3.062,4.323,4.472
"13126",131250,-3.582,4.171,5.075
"13127",131260,-4.178,4.247,5.98
"13128",131270,-4.551,4.475,6.883
"13129",131280,-4.552,4.702,6.885
"13130",131290,-4.107,5.233,6.136
"13131",131300,-3.291,5.689,5.083
"13132",131310,-3.068,5.84,4.183
"13133",131320,-3.664,5.992,3.664
"13134",131330,-4.258,5.84,3.443
"13135",131340,-4.555,5.689,3.22
"13136",131350,-5.151,5.764,2.776
"13137",131360,-5.302,6.22,2.256
"13138",131370,-4.038,6.447,2.322
"13139",131380,-2.772,6.295,2.685
"13140",131390,-2.398,5.916,2.829
"13141",131400,-2.47,5.158,2.824
"13142",131410,-2.838,4.247,2.971
"13143",131420,-2.837,3.792,3.268
"13144",131430,-2.17,4.551,3.192
"13145",131440,-1.881,6.675,3.429
"13146",131450,-3.973,9.026,4.812
"13147",131460,-9.042,11.454,5.695
"13148",131470,-12.994,13.502,5.292
"13149",131480,-13.221,14.64,4.103
"13150",131490,-10.397,15.399,3.485
"13151",131500,-8.461,15.095,4.591
"13152",131510,-7.784,13.274,5.996
"13153",131520,-7.255,11.075,7.326
"13154",131530,-5.693,11.226,9.037
"13155",131540,-7.181,11.226,10.548
"13156",131550,-10.157,11.075,10.797
"13157",131560,-11.272,10.847,9.306
"13158",131570,-10.753,11.302,7.581
"13159",131580,-10.233,11.378,6.379
"13160",131590,-10.006,10.619,5.023
"13161",131600,-9.551,8.42,2.381
"13162",131610,-7.684,6.447,-0.195
"13163",131620,-4.851,5.233,-0.003
"13164",131630,-2.393,4.399,1.844
"13165",131640,-1.127,4.247,3.032
"13166",131650,-0.087,4.778,3.701
"13167",131660,1.769,5.689,3.692
"13168",131670,2.587,5.916,3.087
"13169",131680,1.103,4.854,2.942
"13170",131690,-1.422,3.565,3.329
"13171",131700,-3.354,2.958,3.416
"13172",131710,-4.023,2.578,3.194
"13173",131720,-3.652,3.034,2.67
"13174",131730,-2.614,4.02,2.368
"13175",131740,-1.278,4.854,2.288
