"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"1",1,0.78,51,110,3.5,3.72
"2",2,3.77,56,106,4.07,4.34
"3",3,4.41,58,104,4.68,4.94
"4",4,5.03,55,100,5.28,5.52
"5",5,5.65,52,98,5.9,6.16
"6",6,6.21,49,99,6.49,6.72
"7",7,6.85,50,99,7.12,7.34
"8",8,7.45,49,99,7.73,7.94
"9",9,8.07,49,98,8.33,8.56
"10",10,8.65,50,99,8.93,9.24
"11",11,9.29,51,99,9.55,9.76
"12",12,9.85,49,101,10.11,10.36
"13",13,10.47,49,99,10.75,10.98
"14",14,11.11,45,97,11.41,11.6
"15",15,11.83,45,88,12.14,12.4
"16",16,12.65,48,81,12.97,13.2
"17",17,13.47,49,75,13.81,14.08
"18",18,14.29,49,73,14.6,14.88
"19",19,14.97,51,78,15.29,15.46
"20",20,15.71,54,85,15.94,16.1
"21",21,16.29,55,92,16.57,16.72
"22",22,16.95,57,95,17.2,17.36
"23",23,17.61,57,95,17.84,18
"24",24,18.25,58,94,18.48,18.68
"25",25,18.93,59,90,19.2,19.36
"26",26,19.57,50,88,19.87,20.14
"27",27,20.23,54,88,20.52,20.68
"28",28,20.89,53,92,21.16,21.42
"29",29,21.55,55,94,21.8,21.98
"30",30,22.19,57,94,22.44,22.6
"31",31,22.87,58,92,23.12,23.26
"32",32,23.59,54,88,23.84,24
"33",33,24.25,53,86,24.51,24.68
"34",34,24.95,59,87,25.18,25.36
"35",35,25.63,59,88,25.88,26.04
"36",36,26.27,60,90,26.52,26.7
"37",37,26.97,63,89,27.2,27.36
"38",38,27.63,60,91,27.86,28.04
"39",39,28.31,62,89,28.54,28.72
"40",40,28.97,60,90,29.2,29.38
"41",41,29.57,63,91,29.85,30.04
"42",42,30.29,63,92,30.5,30.66
"43",43,30.91,61,92,31.16,31.34
"44",44,31.57,63,92,31.81,32
"45",45,32.21,63,92,32.46,32.64
"46",46,32.87,62,91,33.14,33.32
"47",47,33.57,61,89,33.81,34
"48",48,34.21,64,92,34.43,34.6
"49",49,34.83,62,94,35.07,35.26
"50",50,35.49,63,96,35.71,35.88
"51",51,36.09,60,93,36.36,36.54
"52",52,36.69,62,95,36.97,37.14
"53",53,37.37,63,96,37.59,37.78
"54",54,37.99,61,95,38.26,38.44
"55",55,38.65,61,95,38.86,39.06
"56",56,39.29,63,93,39.52,39.68
"57",57,39.89,64,98,40.11,40.3
"58",58,40.47,62,98,40.7,40.88
"59",59,41.07,61,102,41.28,41.46
"60",60,41.59,63,104,41.82,41.98
"61",61,42.15,63,108,42.36,42.56
"62",62,42.67,61,109,42.92,43.1
"63",63,43.25,61,109,43.46,43.64
"64",64,43.77,64,112,43.97,44.16
"65",65,44.33,63,114,44.51,44.68
"66",66,44.83,62,114,45.04,45.24
"67",67,45.37,62,111,45.57,45.74
"68",68,45.93,64,112,46.11,46.3
"69",69,46.45,60,112,46.64,46.86
"70",70,46.97,60,112,47.18,47.36
"71",71,47.53,61,111,47.72,47.92
"72",72,48.05,62,111,48.27,48.46
"73",73,48.61,61,109,48.82,49
"74",74,49.15,61,111,49.34,49.54
"75",75,49.67,63,111,49.89,50.08
"76",76,50.23,58,111,50.45,50.64
"77",77,50.83,58,106,51.05,51.3
"78",78,51.43,64,101,51.67,51.92
"79",79,52.05,56,96,52.31,52.54
"80",80,52.65,52,97,52.9,53.1
"81",81,53.23,58,101,53.45,53.68
"82",82,53.79,59,107,54,54.22
"83",83,54.39,59,107,54.59,54.78
"84",84,54.91,59,108,55.1,55.32
"85",85,55.47,56,108,55.66,55.86
"86",86,56.01,58,111,56.21,56.4
"87",87,56.55,59,109,56.74,56.94
"88",88,57.09,59,109,57.29,57.5
"89",89,57.63,57,108,57.86,58.08
"90",90,58.25,58,107,58.43,58.64
"91",91,58.77,60,105,59,59.22
"92",92,59.33,62,107,59.55,59.74
"93",93,59.91,61,105,60.12,60.3
"94",94,60.48,60,107,60.7,60.89
"95",95,61.05,61,105,61.27,61.48
"96",96,61.65,61,106,61.83,62.02
"97",97,62.17,60,106,62.38,62.6
"98",98,62.75,62,108,62.93,63.18
"99",99,63.35,59,103,63.58,63.8
"100",100,63.93,59,101,64.16,64.44
"101",101,64.53,60,98,64.76,65.04
"102",102,65.15,60,99,65.4,65.62
"103",103,65.75,61,98,66,66.22
"104",104,66.39,61,98,66.61,66.88
"105",105,66.99,60,100,67.2,67.42
"106",106,67.59,57,100,67.81,68.02
"107",107,68.13,57,105,68.32,68.58
"108",108,68.69,58,106,68.9,69.18
"109",109,69.29,57,106,69.5,69.76
"110",110,69.87,58,103,70.07,70.3
"111",111,70.41,58,104,70.62,70.86
"112",112,70.91,58,107,71.18,71.38
"113",113,71.49,55,109,71.7,71.98
"114",114,72.03,57,109,72.26,72.52
"115",115,72.59,55,109,72.82,73.08
"116",116,73.15,53,105,73.39,73.62
"117",117,73.71,55,107,73.94,74.2
"118",118,74.27,54,105,74.52,74.72
"119",119,74.83,59,109,75.04,75.24
"120",120,75.39,60,108,75.6,75.8
"121",121,75.93,57,109,76.16,76.34
"122",122,76.49,59,108,76.71,76.94
"123",123,77.07,59,106,77.3,77.5
"124",124,77.57,57,107,77.84,78.08
"125",125,78.15,59,106,78.39,78.6
"126",126,78.73,60,108,78.96,79.16
"127",127,79.29,60,107,79.53,79.74
"128",128,79.87,59,105,80.1,80.38
"129",129,80.43,54,104,80.68,80.88
"130",130,80.99,56,104,81.24,81.46
"131",131,81.53,61,107,81.79,82
"132",132,82.13,59,107,82.35,82.56
"133",133,82.69,61,108,82.9,83.18
