"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"1",1,1.97,63,110,2.19,2.4
"2",2,2.45,64,112,2.7,2.92
"3",3,2.95,64,117,3.18,3.39
"4",4,3.45,63,121,3.69,3.88
"5",5,3.93,64,124,4.16,4.38
"6",6,4.41,63,123,4.64,4.86
"7",7,4.88,63,125,5.12,5.35
"8",8,5.39,56,123,5.63,5.86
"9",9,5.91,54,120,6.15,6.36
"10",10,6.41,58,118,6.64,6.86
"11",11,6.88,59,120,7.11,7.33
"12",12,7.37,61,122,7.6,7.82
"13",13,7.87,62,125,8.08,8.3
"14",14,8.33,61,125,8.57,8.78
"15",15,8.84,62,126,9.04,9.24
"16",16,9.29,61,125,9.52,9.74
"17",17,9.77,59,124,9.99,10.22
"18",18,10.23,61,126,10.47,10.68
"19",19,10.69,64,129,10.92,11.14
"20",20,11.17,62,129,11.4,11.62
"21",21,11.65,59,126,11.88,12.1
"22",22,12.13,62,125,12.34,12.56
"23",23,12.61,63,128,12.8,13.05
"24",24,13.05,61,128,13.28,13.48
"25",25,13.5,63,130,13.71,13.93
"26",26,13.99,61,128,14.2,14.42
"27",27,14.45,62,130,14.66,14.88
"28",28,14.91,62,128,15.12,15.34
"29",29,15.37,63,130,15.58,15.8
"30",30,15.84,62,130,16.04,16.26
"31",31,16.29,62,130,16.5,16.72
"32",32,16.75,60,130,16.97,17.16
"33",33,17.21,59,130,17.42,17.64
"34",34,17.67,60,130,17.88,18.1
"35",35,18.11,59,130,18.34,18.56
"36",36,18.57,55,130,18.81,19.02
"37",37,19.05,51,126,19.29,19.48
"38",38,19.5,55,128,19.74,19.95
"39",39,19.99,57,127,20.22,20.46
"40",40,20.47,56,128,20.7,20.9
"41",41,20.95,59,128,21.14,21.36
"42",42,21.39,60,128,21.62,21.82
"43",43,21.87,59,132,22.07,22.26
"44",44,22.3,57,128,22.53,22.73
"45",45,22.77,59,128,23.02,23.22
"46",46,23.25,60,126,23.48,23.68
"47",47,23.73,57,126,23.95,24.16
"48",48,24.19,54,128,24.42,24.62
"49",49,24.65,57,130,24.86,25.06
"50",50,25.11,59,132,25.32,25.52
"51",51,25.57,60,132,25.79,25.98
"52",52,26.01,57,130,26.24,26.44
"53",53,26.49,55,128,26.71,26.92
"54",54,26.97,54,128,27.18,27.4
"55",55,27.43,49,123,27.67,28.38
"56",56,28.74,57,122,29.06,29.22
"57",57,29.35,62,116,29.65,29.82
"58",58,29.93,62,111,30.17,30.38
"59",59,30.43,63,109,30.71,30.88
"60",60,30.93,63,112,31.25,31.44
"61",61,31.51,60,111,31.77,31.98
"62",62,32.05,60,112,32.32,32.46
"63",63,32.51,61,113,32.82,33
"64",64,33.03,64,116,33.33,33.5
"65",65,33.55,63,116,33.85,34.1
"66",66,34.13,65,118,34.37,34.52
"67",67,34.67,64,115,34.88,35.06
"68",68,35.19,65,117,35.39,35.58
"69",69,35.71,63,114,35.93,36.1
"70",70,36.17,65,117,36.43,36.62
