"","Time.Date","Acc.X","Acc.Y","Acc.Z"
"17661",176600,-5.08,6.523,4.729
"17662",176610,-5.08,6.523,4.954
"17663",176620,-5.005,6.599,5.253
"17664",176630,-4.931,6.675,5.478
"17665",176640,-4.857,6.675,5.477
"17666",176650,-4.782,6.599,5.401
"17667",176660,-4.857,6.599,5.327
"17668",176670,-5.005,6.523,5.253
"17669",176680,-5.005,6.447,5.252
"17670",176690,-4.931,6.523,5.177
"17671",176700,-4.782,6.675,5.027
"17672",176710,-4.709,6.902,4.878
"17673",176720,-4.709,6.978,4.804
"17674",176730,-4.858,6.902,4.805
"17675",176740,-5.006,6.675,4.954
"17676",176750,-5.08,6.523,5.178
"17677",176760,-5.08,6.523,5.253
"17678",176770,-5.005,6.447,5.327
"17679",176780,-5.079,6.447,5.178
"17680",176790,-5.079,6.447,5.028
"17681",176800,-5.08,6.523,4.804
"17682",176810,-5.005,6.599,4.729
"17683",176820,-4.782,6.675,4.727
"17684",176830,-4.634,6.675,4.876
"17685",176840,-4.634,6.675,5.026
"17686",176850,-4.559,6.523,5.099
"17687",176860,-4.782,6.447,5.026
"17688",176870,-5.153,6.295,4.953
"17689",176880,-5.302,6.295,4.879
"17690",176890,-5.302,6.371,4.954
"17691",176900,-5.155,6.675,5.105
"17692",176910,-5.007,6.902,5.18
"17693",176920,-4.932,6.978,5.18
"17694",176930,-5.007,6.978,4.881
"17695",176940,-5.155,6.675,4.88
"17696",176950,-5.525,6.295,5.181
"17697",176960,-5.599,6.068,5.404
"17698",176970,-5.45,5.992,5.777
"17699",176980,-5.227,6.068,5.776
"17700",176990,-4.707,6.447,5.175
"17701",177000,-4.187,6.523,4.572
"17702",177010,-4.335,6.295,4.496
"17703",177020,-4.408,5.992,4.495
"17704",177030,-4.406,5.537,4.567
"17705",177040,-4.478,5.006,4.039
"17706",177050,-3.434,4.399,2.902
"17707",177060,-2.391,4.096,2.142
"17708",177070,-1.647,4.096,1.911
"17709",177080,-0.978,4.096,2.28
"17710",177090,-0.753,3.716,2.5
"17711",177100,-0.378,2.882,1.592
"17712",177110,-0.299,1.82,0.76
"17713",177120,-2.977,1.592,0.407
"17714",177130,-3.728,3.337,0.275
"17715",177140,-6.418,6.22,3.914
"17716",177150,-12.675,7.964,9.673
"17717",177160,-13.795,8.951,10.888
"17718",177170,-13.202,9.709,9.539
"17719",177180,-13.356,10.923,8.949
"17720",177190,-12.172,12.668,9.776
"17721",177200,-10.459,12.288,10.958
"17722",177210,-7.395,8.799,10.683
"17723",177220,-5.894,5.461,9.749
"17724",177230,-5.595,5.158,8.545
"17725",177240,-7.464,7.357,8.576
"17726",177250,-9.411,10.544,9.139
"17727",177260,-10.759,12.743,9.315
"17728",177270,-10.536,12.819,9.089
"17729",177280,-9.416,11.909,7.949
"17730",177290,-8.442,10.24,7.03
"17731",177300,-7.319,8.344,6.408
"17732",177310,-6.867,7.054,5.647
"17733",177320,-6.566,6.144,5.038
"17734",177330,-5.742,4.702,5.022
"17735",177340,-4.622,3.716,4.856
"17736",177350,-3.056,2.882,4.163
"17737",177360,-2.164,2.958,3.182
"17738",177370,-1.792,2.958,3.029
"17739",177380,-1.863,2.199,3.773
"17740",177390,-2.234,1.896,4.299
"17741",177400,-2.535,2.654,3.707
"17742",177410,-2.465,3.944,2.666
"17743",177420,-2.244,4.399,1.618
"17744",177430,-2.544,5.006,0.501
"17745",177440,-2.995,6.371,-0.16
"17746",177450,-2.999,7.357,0.371
"17747",177460,-2.999,7.206,1.419
"17748",177470,-3.295,6.902,2.394
"17749",177480,-3.517,6.599,3.293
"17750",177490,-3.218,6.068,3.661
"17751",177500,-2.994,5.916,3.658
"17752",177510,-2.92,6.144,3.809
"17753",177520,-2.92,6.144,4.034
"17754",177530,-3.142,5.689,4.257
"17755",177540,-3.361,4.778,4.403
"17756",177550,-3.061,4.171,4.171
"17757",177560,-2.541,4.323,3.569
"17758",177570,-2.02,4.247,3.039
"17759",177580,-1.57,3.337,2.58
"17760",177590,-1.12,2.351,1.595
"17761",177600,-1.267,2.047,0.695
"17762",177610,-3.053,2.047,2.059
"17763",177620,-5.811,3.185,3.289
"17764",177630,-5.223,5.082,2.922
"17765",177640,-7.242,7.661,5.429
"17766",177650,-9.546,6.978,9.19
"17767",177660,-9.62,6.902,9.041
"17768",177670,-11.639,9.557,9.6
"17769",177680,-15.698,20.178,10.83
"17770",177690,-14.049,16.916,13.567
"17771",177700,-9.767,6.523,13.76
"17772",177710,-7.15,3.109,11.467
"17773",177720,-6.709,4.551,9.749
"17774",177730,-8.281,7.13,9.705
"17775",177740,-9.029,7.964,9.792
"17776",177750,-9.558,10.013,9.211
"17777",177760,-10.089,12.819,8.56
"17778",177770,-9.196,12.819,8.028
"17779",177780,-8.373,11.681,7.264
"17780",177790,-7.77,9.482,6.72
"17781",177800,-7.242,7.661,5.279
"17782",177810,-6.418,6.371,3.69
"17783",177820,-5.147,4.702,3.668
"17784",177830,-3.431,3.489,4.32
"17785",177840,-1.865,2.578,4.525
"17786",177850,-1.42,2.958,4.224
"17787",177860,-1.645,3.565,4.53
"17788",177870,-2.761,3.413,5.063
"17789",177880,-3.727,3.185,5.069
"17790",177890,-4.174,3.261,4.399
"17791",177900,-3.803,3.489,3.274
"17792",177910,-3.283,3.792,2.148
"17793",177920,-3.359,4.247,1.177
"17794",177930,-3.586,5.006,0.66
"17795",177940,-3.589,5.992,0.592
"17796",177950,-3.144,6.371,1.34
"17797",177960,-2.325,6.144,1.931
"17798",177970,-1.73,6.22,2.001
"17799",177980,-1.731,6.447,2.003
"17800",177990,-2.401,6.447,2.683
"17801",178000,-2.547,5.84,3.129
"17802",178010,-2.396,5.309,3.125
"17803",178020,-2.916,5.082,3.352
"17804",178030,-3.286,4.627,3.577
"17805",178040,-3.211,4.247,3.574
"17806",178050,-2.837,3.944,3.269
"17807",178060,-2.314,3.413,2.661
"17808",178070,-1.942,3.261,1.833
"17809",178080,-1.344,2.578,1.299
"17810",178090,-0.744,1.289,1.435
"17811",178100,-2.007,0.834,2.192
"17812",178110,-4.619,2.882,2.752
"17813",178120,-7.459,6.144,4.446
"17814",178130,-12.006,8.116,9.443
"17815",178140,-12.233,9.026,11.175
"17816",178150,-11.875,12.668,10.522
"17817",178160,-14.215,21.543,11.127
"17818",178170,-12.419,18.736,12.666
"17819",178180,-8.657,7.964,13.011
"17820",178190,-7.003,3.64,10.87
"17821",178200,-7.231,4.778,9.381
"17822",178210,-8.207,7.13,9.405
"17823",178220,-8.36,8.116,9.563
"17824",178230,-9.038,10.24,8.983
"17825",178240,-9.716,12.516,8.405
"17826",178250,-9.196,12.819,7.803
"17827",178260,-8.524,12.061,7.343
"17828",178270,-7.698,10.24,7.324
"17829",178280,-7.469,8.571,6.561
"17830",178290,-6.793,7.054,5.571
"17831",178300,-5.447,5.309,5.548
"17832",178310,-3.879,3.868,5.3
"17833",178320,-2.387,2.958,4.157
"17834",178330,-1.792,3.034,3.179
"17835",178340,-1.865,2.73,3.402
"17836",178350,-2.682,2.199,4.23
"17837",178360,-3.35,1.82,4.607
"17838",178370,-3.501,2.503,3.864
"17839",178380,-3.133,3.565,2.744
"17840",178390,-2.988,4.399,1.924
"17841",178400,-3.29,5.461,1.26
"17842",178410,-3.368,6.371,0.667
"17843",178420,-2.996,6.599,0.816
"17844",178430,-2.696,5.764,1.706
"17845",178440,-2.171,4.93,2.296
"17846",178450,-1.575,4.627,2.439
"17847",178460,-1.055,4.778,2.285
"17848",178470,-1.355,5.537,2.143
"17849",178480,-2.101,5.992,2.677
"17850",178490,-2.843,5.309,3.653
"17851",178500,-3.286,4.627,3.802
"17852",178510,-3.289,5.233,3.731
"17853",178520,-3.666,6.599,4.193
"17854",178530,-3.519,6.978,4.869
"17855",178540,-2.548,5.992,4.854
"17856",178550,-1.724,4.551,3.938
"17857",178560,-1.94,2.882,2.73
"17858",178570,-2.008,1.213,1.67
"17859",178580,-2.303,0.454,1.967
"17860",178590,-4.386,0.378,4.082
"17861",178600,-6.105,2.351,5.159
"17862",178610,-5.597,5.764,5.477
"17863",178620,-8.218,9.861,8.599
"17864",178630,-10.827,11.226,11.178
"17865",178640,-11.577,12.592,9.695
"17866",178650,-12.03,14.337,10.31
"17867",178660,-11.963,16.309,11.672
"17868",178670,-10.383,11.909,12.678
"17869",178680,-7.31,5.992,11.413
"17870",178690,-6.041,4.93,9.522
"17871",178700,-7.39,7.433,9.025
"17872",178710,-9.186,10.24,9.434
"17873",178720,-10.088,12.516,9.382
"17874",178730,-9.644,13.047,8.933
"17875",178740,-8.599,12.364,8.095
"17876",178750,-7.923,10.619,7.778
"17877",178760,-7.543,8.571,7.086
"17878",178770,-7.539,7.661,5.731
"17879",178780,-6.792,6.751,5.044
"17880",178790,-5.374,5.764,4.801
"17881",178800,-3.434,4.323,4.25
"17882",178810,-2.241,3.792,3.488
"17883",178820,-1.718,3.109,3.778
"17884",178830,-1.937,2.047,4.447
"17885",178840,-2.529,1.061,4.82
"17886",178850,-2.901,1.137,4.374
"17887",178860,-2.906,2.351,3.259
"17888",178870,-2.687,3.565,2.141
"17889",178880,-2.617,4.627,1.398
"17890",178890,-2.324,5.916,0.58
"17891",178900,-1.955,6.599,0.582
"17892",178910,-2.026,5.84,1.327
"17893",178920,-2.247,5.309,1.924
"17894",178930,-1.949,5.233,2.071
"17895",178940,-1.206,5.461,1.842
"17896",178950,-1.133,5.689,1.843
"17897",178960,-1.803,5.916,2.299
"17898",178970,-2.77,5.84,2.981
"17899",178980,-3.216,5.689,3.359
"17900",178990,-3.886,5.689,3.964
"17901",179000,-4.258,5.613,4.641
"17902",179010,-3.961,5.84,4.715
"17903",179020,-3.738,5.916,4.713
"17904",179030,-3.438,5.309,4.482
"17905",179040,-3.508,4.323,4.251
"17906",179050,-3.728,3.337,4.246
"17907",179060,-3.353,2.578,4.088
"17908",179070,-3.128,2.047,3.558
"17909",179080,-4.319,2.199,2.745
"17910",179090,-4.098,2.806,1.398
"17911",179100,-3.965,6.902,1.8
"17912",179110,-6.947,8.42,8.279
"17913",179120,-8.215,9.178,11.367
"17914",179130,-9.641,12.364,10.427
"17915",179140,-13.089,18.812,11.474
"17916",179150,-14.642,16.461,12.67
"17917",179160,-11.553,6.447,12.575
"17918",179170,-9.159,3.261,10.286
"17919",179180,-8.199,5.082,8.567
"17920",179190,-8.209,7.661,8.659
"17921",179200,-7.916,8.875,9.04
"17922",179210,-8.668,10.999,8.686
"17923",179220,-9.344,12.592,8.253
"17924",179230,-8.898,12.668,7.8
"17925",179240,-8.373,11.681,7.564
"17926",179250,-7.771,9.709,7.546
"17927",179260,-7.466,7.964,6.482
"17928",179270,-6.643,6.675,5.417
"17929",179280,-5.223,5.082,5.395
"17930",179290,-4.028,4.02,5.452
"17931",179300,-3.133,3.413,4.616
"17932",179310,-2.835,3.337,3.714
"17933",179320,-2.832,2.654,3.859
"17934",179330,-3.052,1.668,4.304
"17935",179340,-3.199,1.137,4.377
"17936",179350,-2.977,1.516,3.478
"17937",179360,-2.161,2.351,2.053
"17938",179370,-2.017,3.489,1.236
"17939",179380,-2.32,4.93,0.499
"17940",179390,-2.473,6.068,0.208
"17941",179400,-2.55,6.599,0.887
"17942",179410,-2.473,6.068,1.857
"17943",179420,-2.173,5.461,2.15
"17944",179430,-1.951,5.613,2.149
"17945",179440,-2.1,5.689,2.45
"17946",179450,-2.77,5.689,3.13
"17947",179460,-3.365,5.689,3.66
"17948",179470,-3.441,6.068,3.813
"17949",179480,-3.442,6.447,3.815
"17950",179490,-3.517,6.523,4.041
"17951",179500,-3.144,6.295,4.336
"17952",179510,-2.695,5.613,4.478
"17953",179520,-2.614,4.02,4.541
"17954",179530,-3.055,2.503,4.01
"17955",179540,-3.425,1.971,3.26
"17956",179550,-2.754,1.592,2.428
"17957",179560,-2.68,1.744,2.503
"17958",179570,-3.946,1.896,3.789
"17959",179580,-4.472,3.337,4.477
"17960",179590,-4.41,6.599,6.672
"17961",179600,-7.096,8.42,10.828
"17962",179610,-10.226,9.785,11.163
"17963",179620,-12.617,12.364,10.077
"17964",179630,-12.776,14.868,11.294
"17965",179640,-11.811,15.474,12.564
"17966",179650,-8.811,9.406,11.823
"17967",179660,-5.819,5.385,9.448
"17968",179670,-6.194,6.144,7.958
"17969",179680,-8.288,8.723,7.993
"17970",179690,-9.487,10.923,8.542
"17971",179700,-9.564,11.757,9.148
"17972",179710,-8.894,11.681,8.992
"17973",179720,-7.85,10.999,8.154
"17974",179730,-7.472,9.557,8.291
"17975",179740,-7.393,8.268,7.682
"17976",179750,-7.24,7.282,6.251
"17977",179760,-6.268,5.916,5.634
"17978",179770,-5.073,4.93,5.842
"17979",179780,-3.655,3.792,5.523
"17980",179790,-2.686,3.337,4.537
"17981",179800,-2.313,2.958,4.007
"17982",179810,-2.459,2.199,4.003
"17983",179820,-2.903,1.744,4.079
"17984",179830,-3.127,1.971,3.707
"17985",179840,-2.982,2.806,2.963
"17986",179850,-2.463,3.413,2.288
"17987",179860,-2.317,4.096,1.692
"17988",179870,-2.767,5.006,1.477
"17989",179880,-3.143,5.992,1.637
"17990",179890,-3.293,6.447,1.866
"17991",179900,-3.293,6.371,2.39
"17992",179910,-2.995,6.22,2.986
"17993",179920,-2.772,6.22,3.434
"17994",179930,-2.771,6.144,3.808
"17995",179940,-3.144,6.295,3.962
"17996",179950,-3.518,6.675,4.042
"17997",179960,-3.592,6.751,4.193
"17998",179970,-3.441,6.22,4.114
"17999",179980,-3.439,5.689,3.96
"18000",179990,-3.513,5.613,4.11
"18001",180000,-3.588,5.764,4.411
"18002",180010,-3.737,5.764,5.012
"18003",180020,-3.959,5.309,5.086
"18004",180030,-4.253,4.551,4.484
"18005",180040,-4.25,3.716,3.579
"18006",180050,-3.055,2.503,2.811
"18007",180060,-2.01,1.592,2.347
"18008",180070,-1.859,1.137,2.492
"18009",180080,-3.346,0.834,3.926
"18010",180090,-5.289,2.882,4.181
"18011",180100,-4.856,6.371,4.052
"18012",180110,-6.579,9.482,8.283
"18013",180120,-8.292,9.937,10.624
"18014",180130,-10.01,11.53,9.75
"18015",180140,-11.132,13.047,10.369
"18016",180150,-11.58,13.426,11.574
"18017",180160,-11.201,11.681,11.109
"18018",180170,-8.506,7.357,9.709
"18019",180180,-6.413,5.082,8.552
"18020",180190,-6.043,5.461,8.177
"18021",180200,-7.691,8.495,8.661
"18022",180210,-9.19,11.075,9.44
"18023",180220,-9.417,12.061,9.748
"18024",180230,-8.747,12.061,9.068
"18025",180240,-8.297,11.075,8.458
"18026",180250,-8.068,9.557,8.296
"18027",180260,-7.839,8.04,7.385
"18028",180270,-7.312,6.675,6.022
"18029",180280,-5.965,4.702,5.923
"18030",180290,-4.323,3.413,5.825
"18031",180300,-2.908,2.958,4.761
"18032",180310,-2.464,3.565,3.863
"18033",180320,-2.315,3.64,3.787
"18034",180330,-2.686,3.337,4.088
"18035",180340,-3.132,3.109,4.165
"18036",180350,-3.058,3.337,3.566
"18037",180360,-2.614,3.792,2.666
"18038",180370,-2.242,3.868,1.989
"18039",180380,-2.392,4.171,1.618
"18040",180390,-3.064,4.93,1.629
"18041",180400,-3.216,5.613,1.71
"18042",180410,-3.293,6.22,1.939
"18043",180420,-3.143,6.144,2.312
"18044",180430,-2.845,5.916,2.683
"18045",180440,-2.548,5.992,2.831
"18046",180450,-2.548,6.068,3.131
"18047",180460,-2.845,5.992,3.657
"18048",180470,-3.069,6.144,4.185
"18049",180480,-3.068,5.992,4.484
"18050",180490,-3.218,6.295,4.487
"18051",180500,-3.294,6.599,4.34
"18052",180510,-3.295,6.826,4.341
"18053",180520,-3.145,6.675,4.564
"18054",180530,-2.994,5.992,4.708
"18055",180540,-2.988,4.475,4.622
"18056",180550,-2.833,2.882,4.011
"18057",180560,-2.904,1.971,2.881
"18058",180570,-2.529,1.213,1.449
"18059",180580,-1.632,0.075,0.16
"18060",180590,-2.374,-0.38,0.463
"18061",180600,-4.834,0.682,2.814
"18062",180610,-5.814,3.944,4.568
"18063",180620,-5.831,8.42,8.869
"18064",180630,-7.851,11.15,12.127
"18065",180640,-10.017,13.502,11.861
"18066",180650,-11.588,15.626,10.69
"18067",180660,-11.963,16.385,11.373
"18068",180670,-11.43,13.123,11.496
"18069",180680,-8.354,6.751,10.003
"18070",180690,-5.817,4.778,8.62
"18071",180700,-5.297,5.082,8.318
"18072",180710,-6.421,7.054,8.49
"18073",180720,-8.589,9.785,8.677
"18074",180730,-9.487,11.075,8.693
"18075",180740,-9.489,11.454,8.546
"18076",180750,-8.446,11.302,7.712
"18077",180760,-7.401,10.392,7.697
"18078",180770,-6.65,8.647,8.203
"18079",180780,-6.943,7.357,7.747
"18080",180790,-6.718,6.902,6.618
"18081",180800,-5.673,6.068,6.379
"18082",180810,-4.479,5.233,6.364
"18083",180820,-3.584,4.627,5.752
"18084",180830,-3.286,4.627,4.926
"18085",180840,-3.358,3.868,4.696
"18086",180850,-3.503,2.882,4.541
"18087",180860,-3.5,2.047,4.31
"18088",180870,-3.202,1.971,3.708
"18089",180880,-2.608,2.427,2.582
"18090",180890,-2.239,3.185,1.76
"18091",180900,-2.541,4.247,1.395
"18092",180910,-2.619,5.158,1.177
"18093",180920,-2.398,5.764,1.179
"18094",180930,-2.697,6.22,1.785
"18095",180940,-2.696,5.84,2.306
"18096",180950,-2.248,5.613,2.076
"18097",180960,-2.174,5.689,1.926
"18098",180970,-2.621,5.764,2.081
"18099",180980,-3.068,5.916,2.685
"18100",180990,-3.141,5.537,3.582
"18101",181000,-3.289,5.309,4.106
"18102",181010,-3.365,5.613,4.109
"18103",181020,-3.068,5.916,4.033
"18104",181030,-2.844,5.764,4.106
"18105",181040,-2.62,5.385,4.326
"18106",181050,-2.468,4.551,4.319
"18107",181060,-2.762,3.64,4.015
"18108",181070,-4.024,3.034,3.572
"18109",181080,-4.469,2.503,2.673
"18110",181090,-4.617,2.351,2.299
"18111",181100,-5.287,2.503,3.279
"18112",181110,-6.038,4.096,4.121
"18113",181120,-3.961,5.992,4.116
"18114",181130,-5.01,7.813,8.034
"18115",181140,-6.72,7.357,10.893
"18116",181150,-8.661,9.102,9.347
"18117",181160,-10.163,12.668,8.86
"18118",181170,-10.253,16.612,10.236
"18119",181180,-10.997,16.688,11.517
"18120",181190,-10.002,9.406,11.983
"18121",181200,-8.122,4.247,10.284
"18122",181210,-7.747,3.716,8.254
"18123",181220,-8.278,6.144,7.525
"18124",181230,-8.883,8.723,7.698
"18125",181240,-9.411,10.695,8.016
"18126",181250,-9.34,11.606,8.171
"18127",181260,-8.745,11.606,7.941
"18128",181270,-8.073,10.999,7.632
"18129",181280,-7.399,9.709,7.917
"18130",181290,-7.393,8.192,7.757
"18131",181300,-7.537,7.054,7.001
"18132",181310,-6.863,5.992,6.239
"18133",181320,-5.594,4.93,5.696
"18134",181330,-4.102,3.944,4.928
"18135",181340,-2.911,3.792,3.718
"18136",181350,-2.465,3.868,3.34
"18137",181360,-2.314,3.185,3.559
"18138",181370,-2.46,2.578,3.856
"18139",181380,-2.757,2.427,3.782
"18140",181390,-2.61,2.806,3.034
"18141",181400,-2.388,3.261,2.061
"18142",181410,-2.39,3.64,1.54
"18143",181420,-2.84,4.551,1.325
"18144",181430,-3.067,5.537,0.959
