"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"1",1,5.05,10,110,5.25,5.35
"2",2,8.88,14,110,9.45,9.68
"3",3,9.81,52,77,10.85,11.14
"4",4,11.27,44,83,11.49,11.74
"5",5,11.81,46,81,12.08,12.34
"6",6,12.43,47,99,12.69,12.94
"7",7,13.05,46,101,13.28,13.52
"8",8,13.61,45,100,13.86,14.12
"9",9,14.19,50,104,14.42,14.66
"10",10,14.77,50,104,14.99,15.24
"11",11,15.31,51,105,15.56,15.8
"12",12,15.89,50,103,16.15,16.38
"13",13,16.49,46,104,16.72,16.92
"14",14,17.03,45,104,17.28,17.54
"15",15,17.61,43,104,17.86,18.1
"16",16,18.19,44,104,18.43,18.68
"17",17,18.77,43,103,19.01,19.26
"18",18,19.33,43,106,19.57,19.8
"19",19,19.91,41,104,20.15,20.36
"20",20,20.51,41,107,20.7,20.94
"21",21,21.03,37,103,21.3,21.54
"22",22,21.67,47,106,21.83,22.1
"23",23,22.21,47,103,22.44,22.68
"24",24,22.75,54,107,22.99,23.22
"25",25,23.33,52,104,23.56,23.8
"26",26,23.89,49,107,24.12,24.36
"27",27,24.45,45,104,24.7,24.96
"28",28,25.03,45,103,25.31,25.56
"29",29,25.65,45,100,25.92,26.14
"30",30,26.23,49,100,26.5,26.74
"31",31,26.83,43,100,27.1,27.32
"32",32,27.43,52,102,27.69,27.94
"33",33,27.99,53,101,28.28,28.52
"34",34,28.63,55,101,28.88,29.1
"35",35,29.23,51,102,29.45,29.68
"36",36,29.75,52,102,30.04,30.28
"37",37,30.37,55,104,30.61,30.86
"38",38,30.97,56,103,31.19,31.46
"39",39,31.55,51,104,31.77,32.04
"40",40,32.09,53,102,32.36,32.6
"41",41,32.67,54,103,32.93,33.2
"42",42,33.29,55,103,33.51,33.76
"43",43,33.83,55,105,34.08,34.36
"44",44,34.39,57,104,34.65,34.88
"45",45,34.97,58,107,35.2,35.42
"46",46,35.53,58,104,35.78,36.02
"47",47,36.11,57,106,36.36,36.62
"48",48,36.67,52,103,36.93,37.16
"49",49,37.28,50,102,37.54,37.76
"50",50,37.84,51,100,38.14,38.4
"51",51,38.45,50,100,38.71,38.94
"52",52,39.02,53,104,39.27,39.5
"53",53,39.61,53,105,39.85,40.08
"54",54,40.15,55,105,40.43,40.68
"55",55,40.75,53,102,41.03,41.28
"56",56,41.34,56,102,41.62,41.87
"57",57,41.95,56,102,42.2,42.44
"58",58,42.53,55,102,42.78,43.03
"59",59,43.11,51,102,43.37,43.6
"60",60,43.7,55,103,43.94,44.19
"61",61,44.25,50,103,44.51,44.76
"62",62,44.89,59,103,45.11,45.36
"63",63,45.48,55,101,45.7,45.94
"64",64,46.01,56,102,46.29,46.54
"65",65,46.64,54,101,46.88,47.12
"66",66,47.21,53,102,47.46,47.72
"67",67,47.76,55,103,48.03,48.27
"68",68,48.37,51,104,48.6,48.86
"69",69,48.93,59,105,49.17,49.4
"70",70,49.51,54,105,49.74,49.98
"71",71,50.05,59,105,50.31,50.54
"72",72,50.61,55,106,50.86,51.1
"73",73,51.19,54,104,51.45,51.7
"74",74,51.81,57,103,52.05,52.28
"75",75,52.41,56,103,52.61,52.9
"76",76,52.95,60,102,53.2,53.44
"77",77,53.49,53,104,53.76,54
"78",78,54.05,58,104,54.32,54.58
"79",79,54.63,59,108,54.87,55.1
"80",80,55.15,60,108,55.43,55.68
"81",81,55.77,59,108,55.99,56.26
"82",82,56.29,60,107,56.56,56.8
"83",83,56.87,60,107,57.11,57.38
"84",84,57.43,60,105,57.69,57.94
"85",85,58.03,60,105,58.26,58.52
"86",86,58.57,61,104,58.83,59.06
"87",87,59.15,61,105,59.39,59.64
"88",88,59.73,62,104,59.98,60.24
"89",89,60.27,59,104,60.55,60.8
"90",90,60.89,59,103,61.13,61.38
"91",91,61.43,62,105,61.67,61.92
"92",92,61.99,60,105,62.24,62.5
"93",93,62.53,57,107,62.81,63.06
"94",94,63.11,60,107,63.35,63.6
"95",95,63.67,60,107,63.93,64.18
"96",96,64.23,56,108,64.47,64.74
"97",97,64.81,61,105,65.05,65.3
"98",98,65.41,58,105,65.62,65.9
