"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"1",1,3.08,40,110,3.4,3.58
"2",2,3.63,45,123,3.84,4.02
"3",3,4.07,46,123,4.32,4.5
"4",4,4.55,50,130,4.77,4.96
"5",5,5.01,56,125,5.28,5.44
"6",6,5.53,51,123,5.78,5.92
"7",7,6.03,51,121,6.25,6.4
"8",8,6.49,53,127,6.71,6.88
"9",9,6.95,53,128,7.18,7.34
"10",10,7.43,55,127,7.68,7.82
"11",11,7.91,52,125,8.14,8.3
"12",12,8.39,55,125,8.63,8.76
"13",13,8.87,51,126,9.1,9.24
"14",14,9.35,53,125,9.58,9.72
"15",15,9.83,55,125,10.06,10.2
"16",16,10.29,53,125,10.55,10.7
"17",17,10.75,56,126,11.01,11.16
"18",18,11.25,54,125,11.5,11.66
"19",19,11.75,55,125,11.98,12.14
"20",20,12.19,51,125,12.44,12.58
"21",21,12.69,51,125,12.94,13.08
"22",22,13.15,53,128,13.38,13.54
"23",23,13.59,53,128,13.84,14.02
"24",24,14.09,49,127,14.35,14.52
"25",25,14.57,53,127,14.81,15.02
"26",26,15.07,51,125,15.28,15.46
"27",27,15.51,52,130,15.74,15.92
"28",28,15.99,51,126,16.21,16.4
"29",29,16.45,51,126,16.7,16.9
"30",30,16.95,52,126,17.16,17.3
"31",31,17.41,49,125,17.65,17.8
"32",32,17.85,47,128,18.1,18.24
"33",33,18.31,52,128,18.56,18.74
"34",34,18.81,49,130,19.04,19.2
"35",35,19.29,49,125,19.54,19.7
"36",36,19.75,50,127,19.98,20.14
"37",37,20.21,47,127,20.46,20.64
"38",38,20.69,48,128,20.94,21.1
"39",39,21.13,49,126,21.39,21.54
"40",40,21.61,45,126,21.87,22.04
"41",41,22.11,48,125,22.37,22.54
"42",42,22.57,46,125,22.83,22.98
"43",43,23.05,48,126,23.29,23.46
"44",44,23.51,48,130,23.75,23.9
"45",45,23.97,47,130,24.21,24.38
"46",46,24.49,45,130,24.68,24.84
"47",47,24.89,46,128,25.15,25.32
"48",48,25.37,47,130,25.6,25.78
"49",49,25.81,44,130,26.05,26.24
"50",50,26.29,46,130,26.55,26.7
"51",51,26.77,48,126,27.01,27.18
"52",52,27.21,47,128,27.46,27.62
"53",53,27.69,45,128,27.93,28.1
"54",54,28.17,49,128,28.41,28.6
"55",55,28.63,46,126,28.88,29.04
"56",56,29.11,44,128,29.34,29.5
"57",57,29.55,48,130,29.79,29.98
"58",58,30.05,46,128,30.27,30.44
"59",59,30.47,45,128,30.73,30.9
"60",60,30.93,47,128,31.19,31.36
"61",61,31.43,47,128,31.67,31.88
"62",62,31.89,45,126,32.15,32.34
"63",63,32.39,47,123,32.65,32.82
"64",64,32.91,47,125,33.12,33.28
"65",65,33.33,49,125,33.59,33.78
"66",66,33.85,48,126,34.07,34.24
"67",67,34.29,49,125,34.55,34.76
"68",68,34.79,50,126,35.02,35.22
"69",69,35.23,48,125,35.5,35.7
"70",70,35.73,48,125,36,36.18
"71",71,36.21,49,125,36.45,36.66
"72",72,36.69,47,128,36.92,37.1
"73",73,37.15,48,128,37.39,37.56
"74",74,37.63,48,128,37.86,38.06
"75",75,38.09,48,125,38.34,38.54
"76",76,38.57,47,126,38.81,39.02
"77",77,39.07,48,123,39.31,39.48
"78",78,39.56,46,126,39.78,39.97
"79",79,40.01,46,125,40.26,40.42
"80",80,40.51,50,126,40.74,40.9
"81",81,41.01,51,126,41.2,41.38
"82",82,41.47,50,125,41.7,41.86
"83",83,41.95,50,126,42.16,42.32
"84",84,42.39,51,125,42.63,42.82
"85",85,42.87,48,125,43.13,43.34
"86",86,43.35,50,125,43.59,43.76
"87",87,43.83,48,125,44.07,44.28
"88",88,44.33,48,126,44.55,44.74
"89",89,44.79,48,125,45.03,45.22
"90",90,45.27,50,126,45.49,45.68
"91",91,45.73,48,126,45.97,46.16
"92",92,46.21,46,125,46.48,46.66
"93",93,46.73,47,123,46.95,47.16
"94",94,47.23,46,123,47.44,47.62
"95",95,47.67,46,126,47.89,48.1
"96",96,48.15,45,128,48.35,48.54
"97",97,48.63,46,126,48.85,49.02
"98",98,49.09,44,127,49.32,49.5
"99",99,49.57,42,123,49.81,50.02
"100",100,50.05,46,127,50.27,50.46
"101",101,50.51,41,123,50.77,50.98
"102",102,51.03,45,125,51.26,51.42
"103",103,51.49,45,125,51.72,51.92
"104",104,51.99,45,128,52.19,52.36
"105",105,52.45,48,125,52.69,52.86
"106",106,52.93,44,125,53.16,53.32
"107",107,53.43,45,123,53.64,53.84
"108",108,53.89,45,126,54.12,54.3
"109",109,54.39,43,125,54.6,54.76
"110",110,54.87,42,123,55.09,55.3
"111",111,55.35,45,123,55.57,55.74
"112",112,55.79,46,127,56.02,56.2
"113",113,56.27,49,128,56.5,56.68
"114",114,56.71,52,130,56.96,57.14
"115",115,57.23,48,126,57.44,57.64
"116",116,57.69,50,126,57.91,58.12
"117",117,58.15,51,125,58.39,58.56
"118",118,58.61,47,126,58.85,59.08
"119",119,59.11,47,128,59.32,59.52
"120",120,59.57,46,128,59.79,59.98
"121",121,60.03,49,129,60.25,60.44
"122",122,60.47,44,128,60.72,60.9
"123",123,60.97,44,128,61.19,61.4
"124",124,61.45,46,126,61.68,61.86
"125",125,61.91,48,128,62.12,62.32
"126",126,62.37,47,130,62.57,62.74
"127",127,62.85,49,128,63.07,63.28
"128",128,63.31,45,126,63.53,63.7
"129",129,63.77,47,126,64,64.22
"130",130,64.23,48,128,64.47,64.66
"131",131,64.69,46,126,64.96,65.18
"132",132,65.19,46,128,65.4,65.58
"133",133,65.65,45,128,65.87,66.06
"134",134,66.15,44,128,66.35,66.56
"135",135,66.59,45,126,66.81,66.98
"136",136,67.08,41,128,67.27,67.48
"137",137,67.55,44,128,67.76,67.94
"138",138,68.01,42,128,68.22,68.38
"139",139,68.47,43,128,68.67,68.86
"140",140,68.99,43,126,69.18,69.36
"141",141,69.43,40,126,69.63,69.82
"142",142,69.89,40,125,70.11,70.28
"143",143,70.35,42,130,70.56,70.74
"144",144,70.81,50,130,71.01,71.18
"145",145,71.29,47,132,71.48,71.7
"146",146,71.75,46,126,71.97,72.14
"147",147,72.21,45,126,72.43,72.6
"148",148,72.71,45,126,72.89,73.06
"149",149,73.13,42,130,73.35,73.52
"150",150,73.59,48,132,73.8,73.98
"151",151,74.05,48,130,74.28,74.44
"152",152,74.51,44,132,74.71,74.88
"153",153,74.93,45,132,75.15,75.38
"154",154,75.41,43,132,75.63,75.82
"155",155,75.93,45,128,76.11,76.32
"156",156,76.35,43,125,76.59,76.78
"157",157,76.83,41,128,77.03,77.18
"158",158,77.27,46,130,77.49,77.66
"159",159,77.79,46,130,77.98,78.18
"160",160,78.23,46,126,78.46,78.64
"161",161,78.69,42,125,78.93,79.1
"162",162,79.15,44,128,79.37,79.54
"163",163,79.61,45,130,79.83,79.98
"164",164,80.07,45,134,80.27,80.44
"165",165,80.55,44,132,80.74,80.9
"166",166,80.99,44,132,81.19,81.36
"167",167,81.43,45,130,81.65,81.84
"168",168,81.93,43,128,82.14,82.3
"169",169,82.41,39,125,82.63,82.82
"170",170,82.91,40,120,83.15,83.36
"171",171,83.43,38,116,83.66,83.86
