"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"1",1,1.65,34,110,1.85,2.04
"2",2,2.25,33,100,2.51,2.68
"3",3,2.87,41,101,3.09,3.32
"4",4,3.49,45,99,3.68,3.92
"5",5,4.07,43,102,4.28,4.44
"6",6,4.71,45,100,4.89,5.05
"7",7,5.33,43,98,5.52,5.68
"8",8,5.93,47,97,6.13,6.3
"9",9,6.55,45,98,6.73,6.88
"10",10,7.13,45,98,7.35,7.52
"11",11,7.71,45,100,7.94,8.1
"12",12,8.33,46,100,8.54,8.7
"13",13,8.93,44,100,9.15,9.32
"14",14,9.53,44,98,9.77,9.94
"15",15,10.11,51,101,10.31,10.6
"16",16,10.71,45,101,10.93,11.1
"17",17,11.35,48,101,11.56,11.78
"18",18,11.93,49,98,12.16,12.4
"19",19,12.53,39,99,12.75,13.06
"20",20,13.13,39,102,13.33,13.56
"21",21,13.73,43,99,13.97,14.12
"22",22,14.33,50,103,14.52,14.68
"23",23,14.83,52,105,15.04,15.3
"24",24,15.37,51,111,15.59,15.74
"25",25,15.85,51,111,16.14,16.3
"26",26,16.47,49,108,16.69,16.94
"27",27,17.01,51,109,17.23,17.46
"28",28,17.57,51,108,17.79,17.94
"29",29,18.09,50,109,18.33,18.54
"30",30,18.67,48,107,18.91,19.12
"31",31,19.21,48,108,19.46,19.62
"32",32,19.79,49,107,20.01,20.16
"33",33,20.29,50,109,20.55,20.72
"34",34,20.85,49,111,21.08,21.24
"35",35,21.37,50,113,21.6,21.76
"36",36,21.93,50,112,22.15,22.3
"37",37,22.41,47,112,22.68,22.88
"38",38,23.03,49,109,23.24,23.4
"39",39,23.57,49,109,23.79,23.94
"40",40,24.09,51,109,24.32,24.5
"41",41,24.65,47,109,24.87,25.04
"42",42,25.15,49,111,25.42,25.58
"43",43,25.73,48,109,25.96,26.12
"44",44,26.25,48,111,26.5,26.66
"45",45,26.77,45,112,27.02,27.18
"46",46,27.29,46,113,27.54,27.7
"47",47,27.83,49,116,28.06,28.28
"48",48,28.35,45,112,28.61,28.76
"49",49,28.87,47,112,29.14,29.3
"50",50,29.45,45,112,29.65,29.84
"51",51,29.97,48,115,30.18,30.34
"52",52,30.47,45,115,30.71,30.88
"53",53,30.99,47,115,31.21,31.44
"54",54,31.53,41,115,31.74,31.92
"55",55,32.03,45,112,32.29,32.46
"56",56,32.59,44,111,32.82,33.02
"57",57,33.15,43,109,33.37,33.54
"58",58,33.61,46,111,33.91,34.06
"59",59,34.23,47,111,34.44,34.6
"60",60,34.73,43,113,34.96,35.12
"61",61,35.25,49,115,35.47,35.66
"62",62,35.73,46,115,36,36.18
"63",63,36.27,48,116,36.51,36.68
"64",64,36.81,47,120,36.99,37.26
"65",65,37.35,41,117,37.54,37.7
"66",66,37.87,46,114,38.07,38.24
"67",67,38.41,43,111,38.6,38.8
"68",68,38.91,42,112,39.13,39.28
"69",69,39.43,46,115,39.64,39.8
"70",70,39.95,47,117,40.14,40.32
"71",71,40.47,46,121,40.64,40.84
"72",72,40.97,47,121,41.13,41.38
"73",73,41.47,47,120,41.65,41.84
"74",74,41.97,44,116,42.16,42.38
"75",75,42.47,43,116,42.67,42.84
"76",76,42.97,46,120,43.15,43.34
"77",77,43.45,43,120,43.66,43.84
"78",78,43.97,46,120,44.16,44.38
"79",79,44.47,47,115,44.69,44.88
"80",80,44.99,43,115,45.21,45.36
"81",81,45.53,45,113,45.73,45.9
"82",82,46.01,42,115,46.25,46.42
"83",83,46.57,47,120,46.73,46.92
"84",84,47.05,44,118,47.26,47.44
"85",85,47.59,43,118,47.77,47.94
"86",86,48.09,44,113,48.29,48.44
"87",87,48.59,42,118,48.78,48.98
"88",88,49.09,46,118,49.29,49.46
"89",89,49.59,45,120,49.79,49.96
"90",90,50.07,41,118,50.29,50.46
"91",91,50.61,46,121,50.78,50.94
"92",92,51.09,45,123,51.27,51.42
"93",93,51.55,44,123,51.75,51.92
"94",94,52.03,43,121,52.25,52.44
"95",95,52.55,47,121,52.74,52.9
"96",96,53.05,51,123,53.22,53.46
"97",97,53.51,40,125,53.7,53.94
"98",98,54.15,25,113,54.36,54.54
"99",99,54.73,34,104,54.97,55.16
"100",100,55.25,38,101,55.48,55.66
"101",101,55.77,42,110,55.99,56.16
"102",102,56.29,44,120,56.49,56.66
"103",103,56.77,45,123,56.96,57.14
"104",104,57.27,46,123,57.47,57.64
"105",105,57.77,44,120,57.97,58.14
"106",106,58.29,44,118,58.47,58.64
"107",107,58.81,40,116,59,59.18
"108",108,59.29,47,118,59.51,59.7
"109",109,59.83,45,116,60.01,60.2
"110",110,60.33,45,118,60.52,60.7
"111",111,60.79,44,118,61.01,61.18
"112",112,61.29,46,123,61.49,61.68
"113",113,61.79,45,121,61.99,62.18
"114",114,62.25,44,125,62.46,62.66
"115",115,62.73,47,125,62.93,63.12
"116",116,63.19,45,128,63.4,63.58
"117",117,63.69,44,126,63.89,64.08
"118",118,64.15,45,125,64.36,64.54
"119",119,64.63,47,128,64.82,65.02
"120",120,65.09,44,127,65.31,65.48
"121",121,65.57,44,127,65.78,65.96
"122",122,66.03,43,125,66.24,66.42
"123",123,66.51,47,126,66.73,66.9
"124",124,67.01,46,128,67.19,67.38
"125",125,67.45,47,130,67.64,67.84
"126",126,67.93,41,127,68.14,68.32
"127",127,68.41,47,127,68.61,68.78
"128",128,68.87,44,123,69.08,69.26
"129",129,69.33,46,128,69.55,69.74
"130",130,69.81,45,128,70,70.2
"131",131,70.27,44,126,70.5,70.68
"132",132,70.75,44,126,70.96,71.18
"133",133,71.21,40,126,71.42,71.6
"134",134,71.67,37,128,71.89,72.06
"135",135,72.15,43,123,72.4,72.58
"136",136,72.73,42,120,72.91,73.16
"137",137,73.21,41,116,73.43,73.6
"138",138,73.73,43,118,73.94,74.12
"139",139,74.25,41,116,74.45,74.64
"140",140,74.77,43,120,74.95,75.16
"141",141,75.31,41,118,75.46,75.7
"142",142,75.79,40,118,75.98,76.18
"143",143,76.29,43,115,76.5,76.7
"144",144,76.79,45,115,77.02,77.2
"145",145,77.31,41,115,77.54,77.74
"146",146,77.81,40,116,78.03,78.2
"147",147,78.31,40,118,78.54,78.72
"148",148,78.85,40,118,79.06,79.22
"149",149,79.35,43,118,79.56,79.74
"150",150,79.83,44,120,80.05,80.24
"151",151,80.35,40,121,80.54,80.76
"152",152,80.83,39,121,81.04,81.22
"153",153,81.33,42,121,81.53,81.72
"154",154,81.79,42,121,82.02,82.18
"155",155,82.29,40,123,82.49,82.68
"156",156,82.73,43,125,82.97,83.14
"157",157,83.25,39,125,83.46,83.64
"158",158,83.75,42,123,83.96,84.14
"159",159,84.25,39,121,84.44,84.62
"160",160,84.71,43,123,84.93,85.12
"161",161,85.23,42,121,85.44,85.64
"162",162,85.75,40,118,85.95,86.14
"163",163,86.25,41,116,86.46,86.62
"164",164,86.75,43,118,86.96,87.14
"165",165,87.23,44,121,87.44,87.62
"166",166,87.73,43,123,87.93,88.12
"167",167,88.21,41,125,88.41,88.6
"168",168,88.69,41,123,88.9,89.08
"169",169,89.17,43,123,89.38,89.56
"170",170,89.65,41,125,89.85,90.04
"171",171,90.09,41,126,90.32,90.5
